"code","iso","country","NXA.ind.1995","NXA.ind.1996","NXA.ind.1997","NXA.ind.1998","NXA.ind.1999","NXA.ind.2000","NXA.ind.2001","NXA.ind.2002","NXA.ind.2003","NXA.ind.2004","NXA.ind.2005","NXA.ind.2006","NXA.ind.2007","NXA.ind.2008","NXA.ind.2009","NXA.ind.2010","NXA.ind.2011","NXA.ind.2012","NXA.ind.2013","NXA.ind.2014","NXA.ind.2015","NXA.ind.2016","NXA.ind.2017","NXA.ind.2018","NXA.ind.2019","NXA.ind.2020"
50,"BGD","Bangladesh",24.4708016303432,24.4708016303432,24.4708016303432,24.4708016303432,24.4708016303432,28.790521547668,31.7242286341448,34.1535879348195,38.6365987346389,42.352028695273,41.8455411804015,40.7337065321936,39.4111826144871,37.9516440031895,36.0185827791858,33.4551740064833,28.2142289446936,24.9147169975879,26.0067849789492,25.7067227641326,25.7067227641326,25.7067227641326,25.7067227641326,25.7067227641326,25.7067227641326,25.7067227641326
52,"BRB","Barbados",88.9231810068073,88.9231810068073,88.9231810068073,88.9231810068073,88.9231810068073,79.0955206807053,63.9193938144384,56.132948033187,59.307770520944,66.8231988894165,65.4711618035035,67.8664645566547,68.2561685165775,68.4592105649582,73.9554121788661,79.1399498470991,81.6239811254266,80.4214522082403,78.6313375453528,77.2872138312993,77.2872138312993,77.2872138312993,77.2872138312993,77.2872138312993,77.2872138312993,77.2872138312993
112,"BLR","Belarus",78.5874546489218,78.5874546489218,78.5874546489218,78.5874546489218,78.5874546489218,89.3917897515941,100,100,100,86.5972534961322,77.963639323119,68.6201493947017,61.0449335805665,52.5325644992449,52.2662383000039,53.0452611465246,55.0757175013883,55.9578183245004,60.2294297758469,60.8355157790483,60.8355157790483,60.8355157790483,60.8355157790483,60.8355157790483,60.8355157790483,60.8355157790483
56,"BEL","Belgium",93.7500974189854,93.7500974189854,93.7500974189854,93.7500974189854,93.7500974189854,96.8108719907377,100,100,100,100,100,99.4754326825075,98.8744911612766,100,100,100,100,100,100,100,100,100,100,100,100,100
84,"BLZ","Belize",2.62486856260652,2.62486856260652,2.62486856260652,2.62486856260652,2.62486856260652,0,0,0,0,0,10.165484358689,35.6802510106245,51.8489705682548,63.3351674322754,86.3819893947119,33.9269202907628,0,0,0,0,0,0,0,0,0,0
204,"BEN","Benin",19.4833247174889,19.4833247174889,19.4833247174889,19.4833247174889,19.4833247174889,26.378482899002,33.092155470805,36.1055696890505,38.084763641625,41.9744535643861,46.666940823042,33.8305257573508,13.4906793116582,0,0,0,0,0.177688045220961,7.71937013250094,23.3161454232434,23.3161454232434,23.3161454232434,23.3161454232434,23.3161454232434,23.3161454232434,23.3161454232434
60,"BMU","Bermuda",69.6054143673464,69.6054143673464,69.6054143673464,69.6054143673464,69.6054143673464,57.9096182636042,50.0538887071757,52.3900646717363,55.2603660235338,55.5536615361732,55.6707821418518,55.1334040930263,56.0163416167354,53.8587356482751,58.9250584160852,59.1463195427236,63.3287508068828,64.2570015505868,63.2660030643932,63.2660030643932,63.2660030643932,63.2660030643932,63.2660030643932,63.2660030643932,63.2660030643932,63.2660030643932
64,"BTN","Bhutan",49.6841716736688,49.6841716736688,49.6841716736688,49.6841716736688,49.6841716736688,45.7159102970701,42.6970554872123,40.7934545206201,36.2137876103507,32.3840777319364,34.0041802823281,34.5266609618797,35.4225247433611,37.740025212153,41.0704455076409,41.6925509413441,31.9890817957964,22.9797526150451,12.2162948759553,4.686489718445,4.686489718445,4.686489718445,4.686489718445,4.686489718445,4.686489718445,4.686489718445
68,"BOL","Bolivia",50.9418060387133,50.9418060387133,50.9418060387133,50.9418060387133,50.9418060387133,60.4111362101545,68.5825254473691,75.3380777094087,78.970422971404,73.946940919926,64.4157618662601,53.0199906622684,40.9667200811187,25.7266190943715,18.3994998733756,12.1791560850204,10.1047101663946,8.79234234723482,10.2278565489056,14.594264009079,14.594264009079,14.594264009079,14.594264009079,14.594264009079,14.594264009079,14.594264009079
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,13.8650097819543,29.796007799016,38.9011898230964,57.3480416628279,58.6525712195353,58.8769015579837,63.2296742369957,72.4617672521811,91.3462193603228,91.3462193603228,91.3462193603228,91.3462193603228,91.3462193603228,91.3462193603228,91.3462193603228
72,"BWA","Botswana",37.4621729418962,37.4621729418962,37.4621729418962,37.4621729418962,37.4621729418962,32.2801359360252,32.8643942204162,30.6770866043866,32.4384473728113,36.8054747081056,38.3385606073862,46.9721066689261,54.5275817062687,50.8991688004257,49.0669249254595,44.6787267985231,43.6343210884967,46.074102865743,45.7142876663953,44.2274849082797,44.2274849082797,44.2274849082797,44.2274849082797,44.2274849082797,44.2274849082797,44.2274849082797
