"code","iso","country","HAD.ind.1995","HAD.ind.1996","HAD.ind.1997","HAD.ind.1998","HAD.ind.1999","HAD.ind.2000","HAD.ind.2001","HAD.ind.2002","HAD.ind.2003","HAD.ind.2004","HAD.ind.2005","HAD.ind.2006","HAD.ind.2007","HAD.ind.2008","HAD.ind.2009","HAD.ind.2010","HAD.ind.2011","HAD.ind.2012","HAD.ind.2013","HAD.ind.2014","HAD.ind.2015","HAD.ind.2016","HAD.ind.2017","HAD.ind.2018","HAD.ind.2019","HAD.ind.2020"
586,"PAK","Pakistan",5.03679686194364,5.03679686194364,5.03679686194364,5.03679686194364,5.03679686194364,5.03679686194364,5.35284941409687,5.6689019662502,5.98495451840355,6.30100707055678,6.61705962271012,6.93311217486334,7.24916472701668,7.56521727917003,7.88126983132325,8.19732238347657,8.67535328726331,9.15338419105002,9.63141509483685,10.1094459986236,10.5874769024103,11.1718073683856,11.7561378343609,12.3404683003362,12.9247987663115,12.9247987663115
585,"PLW","Palau",86.5537359783712,86.5537359783712,86.5537359783712,86.5537359783712,86.5537359783712,86.5537359783712,86.7945930248496,87.035450071328,87.2763071178064,87.5171641642848,87.7580212107631,87.9988782572415,88.2397353037199,88.4805923501983,88.7214493966767,88.9623064431551,88.4111070668349,87.8599076905147,87.3087083141945,86.7575089378744,86.2063095615542,87.4478813329266,88.689453104299,89.9310248756715,91.1725966470439,91.1725966470439
591,"PAN","Panama",34.4693536057657,34.4693536057657,34.4693536057657,34.4693536057657,34.4693536057657,34.4693536057657,34.931735844634,35.3941180835024,35.8565003223707,36.3188825612391,36.7812648001075,37.2436470389758,37.7060292778442,38.1684115167125,38.6307937555809,39.0931759944492,39.9354349937102,40.7776939929714,41.6199529922324,42.4622119914935,43.3044709907546,44.3103348824209,45.3161987740873,46.3220626657538,47.3279265574202,47.3279265574202
598,"PNG","Papua New Guinea",2.69868038060079,2.69868038060079,2.69868038060079,2.69868038060079,2.69868038060079,2.69868038060079,2.73220004214532,2.76571970368987,2.79923936523451,2.83275902677906,2.8662786883236,2.89979834986814,2.93331801141268,2.96683767295734,3.00035733450187,3.0338769960464,3.23190184600027,3.42992669595411,3.62795154590786,3.82597639586169,4.02400124581555,4.2156353323282,4.40726941884097,4.59890350535362,4.79053759186627,4.79053759186627
600,"PRY","Paraguay",20.21730616914,20.21730616914,20.21730616914,20.21730616914,20.21730616914,20.21730616914,20.6003852758631,20.9834643825861,21.3665434893092,21.7496225960322,22.1327017027553,22.5157808094783,22.8988599162013,23.2819390229244,23.6650181296474,24.0480972363705,24.8377708266812,25.6274444169917,26.4171180073024,27.206791597613,27.9964651879237,28.6335602889877,29.2706553900517,29.9077504911157,30.5448455921798,30.5448455921798
604,"PER","Peru",24.9552401076493,24.9552401076493,24.9552401076493,24.9552401076493,24.9552401076493,24.9552401076493,25.4691077471971,25.9829753867451,26.4968430262929,27.0107106658409,27.5245783053887,28.0384459449366,28.5523135844845,29.0661812240324,29.5800488635803,30.0939165031282,31.2417289613418,32.3895414195555,33.5373538777691,34.6851663359827,35.8329787941963,36.9854304958123,38.1378821974284,39.2903338990444,40.4427856006604,40.4427856006604
608,"PHL","Philippines",15.9369209961602,15.9369209961602,15.9369209961602,15.9369209961602,15.9369209961602,15.9369209961602,15.8166778656314,15.6964347351026,15.5761916045739,15.4559484740451,15.3357053435163,15.2154622129875,15.0952190824587,14.9749759519299,14.8547328214011,14.7344896908723,15.2357368805084,15.7369840701444,16.2382312597805,16.7394784494165,17.2407256390525,17.8535376272756,18.4663496154986,19.0791616037217,19.6919735919447,19.6919735919447
616,"POL","Poland",36.3681292370038,36.3681292370038,36.3681292370038,36.3681292370038,36.3681292370038,36.3681292370038,37.0944862624715,37.820843287939,38.5472003134067,39.2735573388743,39.9999143643419,40.7262713898096,41.4526284152772,42.1789854407448,42.9053424662124,43.6316994916801,44.3343978420471,45.0370961924141,45.7397945427811,46.4424928931481,47.1451912435151,47.7821128091,48.4190343746849,49.0559559402698,49.6928775058547,49.6928775058547
620,"PRT","Portugal",61.3872331069019,61.3872331069019,61.3872331069019,61.3872331069019,61.3872331069019,61.3872331069019,62.8475608459191,64.3078885849363,65.7682163239535,67.2285440629707,68.6888718019879,70.149199541005,71.6095272800223,73.0698550190394,74.5301827580567,75.9905104970738,77.1653497141981,78.3401889313223,79.5150281484466,80.6898673655709,81.8647065826951,82.8495045112561,83.8343024398171,84.8191003683781,85.8038982969391,85.8038982969391
634,"QAT","Qatar",86.1381707004064,86.1381707004064,86.1381707004064,86.1381707004064,86.1381707004064,86.1381707004064,87.6977392428684,89.2573077853303,90.8168763277923,92.3764448702542,93.9360134127162,95.4955819551782,97.0551504976401,98.6147190401021,100,100,100,100,100,100,100,100,100,100,100,100
178,"COG","Republic of Congo",7.51167249254196,7.51167249254196,7.51167249254196,7.51167249254196,7.51167249254196,7.51167249254196,8.00319821643473,8.49472394032743,8.98624966422022,9.4777753881129,9.96930111200571,10.4608268358985,10.9523525597912,11.443878283684,11.9354040075767,12.4269297314695,13.1495051701031,13.8720806087367,14.5946560473703,15.317231486004,16.0398069246376,16.701800390886,17.3637938571344,18.0257873233829,18.6877807896313,18.6877807896313
642,"ROU","Romania",27.6568204373592,27.6568204373592,27.6568204373592,27.6568204373592,27.6568204373592,27.6568204373592,28.7281609028989,29.7995013684385,30.8708418339781,31.9421822995178,33.0135227650574,34.0848632305971,35.1562036961367,36.2275441616763,37.298884627216,38.3702250927556,39.1774029468968,39.984580801038,40.7917586551792,41.5989365093204,42.4061143634616,42.9803771127013,43.554639861941,44.1289026111807,44.7031653604204,44.7031653604204
643,"RUS","Russia",43.9288102369953,43.9288102369953,43.9288102369953,43.9288102369953,43.9288102369953,43.9288102369953,45.0729586589826,46.2171070809699,47.3612555029573,48.5054039249446,49.6495523469318,50.7937007689191,51.9378491909064,53.0819976128938,54.226146034881,55.3702944568683,56.4214992022248,57.4727039475812,58.5239086929377,59.5751134382941,60.6263181836506,61.404791918358,62.1832656530655,62.961739387773,63.7402131224805,63.7402131224805
