"code","iso","country","SNM.ind.1995","SNM.ind.1996","SNM.ind.1997","SNM.ind.1998","SNM.ind.1999","SNM.ind.2000","SNM.ind.2001","SNM.ind.2002","SNM.ind.2003","SNM.ind.2004","SNM.ind.2005","SNM.ind.2006","SNM.ind.2007","SNM.ind.2008","SNM.ind.2009","SNM.ind.2010","SNM.ind.2011","SNM.ind.2012","SNM.ind.2013","SNM.ind.2014","SNM.ind.2015","SNM.ind.2016","SNM.ind.2017","SNM.ind.2018","SNM.ind.2019","SNM.ind.2020"
44,"BHS","Bahamas",13.1630655381902,11.4952571436771,13.976075033669,11.8433106503364,15.4173636856608,13.9196337870349,11.4264807067454,15.4368885114017,15.094393638808,16.0221009585983,15.8610431975965,16.2330095761329,18.1444828748817,17.9770908965255,17.0199934759407,19.6727078654174,19.6251956842376,13.8992717511214,15.3068127494622,15.0164637949067,13.9786198568808,13.9786198568808,13.9786198568808,13.9786198568808,13.9786198568808,13.9786198568808
48,"BHR","Bahrain",36.1544549435184,43.0677151414901,42.2283924937997,48.7050267896777,46.0782029891611,45.7981281365718,39.8617122906727,35.4886418197038,37.895556964862,36.9855455874224,38.1121955265672,42.4219222435775,41.7162990901084,44.857566638873,44.1607864636005,42.6520005093055,37.7921495800603,36.0686432183463,34.8312436540677,33.7825129629678,33.2096324009396,33.2096324009396,33.2096324009396,33.2096324009396,33.2096324009396,33.2096324009396
50,"BGD","Bangladesh",31.691217018871,32.7841571711152,36.1695473586286,36.1337637365112,38.5562186538408,38.6930030563249,40.0376645066033,40.828913266639,43.0919239867088,43.5201633225599,43.9924551731483,43.9685521241435,46.8910548091229,46.4935069659463,48.6235404614484,50.0159633823231,48.8992618435074,50.531251998538,52.2792957494666,52.0228830628015,49.921314243366,49.921314243366,49.921314243366,49.921314243366,49.921314243366,49.921314243366
52,"BRB","Barbados",11.0229743668815,11.1419194419277,11.8981552298975,10.9544574959767,12.5721326766829,12.6487668761662,10.6855917162116,13.6888696181312,13.257680512479,9.28904230940589,12.9606566828847,11.4597367926635,11.5595575326579,9.60641588145229,13.0427454021605,12.451384996942,13.1523937624189,11.7702657451138,10.4537927885732,11.9958233550055,11.8593044648741,11.8593044648741,11.8593044648741,11.8593044648741,11.8593044648741,11.8593044648741
112,"BLR","Belarus",30.2872535538597,32.8320083624368,33.1377634305054,26.5795852960137,28.2663404256041,28.7809343832627,29.1724556503894,36.0260517024628,34.835474783283,40.762418913551,37.3517651783608,33.3967580850766,38.0330355693235,40.6016228811009,41.6730082593299,35.6311055952302,37.2404697400925,42.9754725743362,39.6566184040813,48.5246955641381,45.9195537715827,45.9195537715827,45.9195537715827,45.9195537715827,45.9195537715827,45.9195537715827
56,"BEL","Belgium",69.1453288902691,69.1453288902691,69.1453288902691,69.1453288902691,69.1453288902691,69.1453288902691,67.1383165825624,45.4694574288517,45.3356862891832,46.9567173270301,46.1056811741552,46.0675196294388,46.1477392334856,45.5799091935839,48.400051923796,46.5852179149284,46.7668970810146,46.3098060374178,47.1379642012502,47.801439014099,47.3269659281176,47.3269659281176,47.3269659281176,47.3269659281176,47.3269659281176,47.3269659281176
84,"BLZ","Belize",32.5553653059018,39.2392064175211,39.5791787898447,32.3101967225122,34.9045867731478,33.3550398084144,40.0164778030803,20.0641505180071,16.910165861894,33.8538385782667,29.9959936488212,34.2359173369556,37.582187367991,38.7513401248324,29.367560313385,43.7373848315672,29.2201567329038,29.7540309912154,34.2772979756141,28.0512004823456,19.920752531376,19.920752531376,19.920752531376,19.920752531376,19.920752531376,19.920752531376
204,"BEN","Benin",39.3714177984005,39.7131509400796,38.9394271839062,40.1764510329207,35.8813289131658,41.104882575435,41.053238116276,40.267406557346,41.7149169215832,41.3544285775347,41.778890847243,41.8109003938764,43.0145217226918,41.6124300702606,42.067881494155,42.48781160583,44.3170842683522,42.9112369521159,43.4873133057027,43.0253151788075,42.7235981485092,42.7235981485092,42.7235981485092,42.7235981485092,42.7235981485092,42.7235981485092
60,"BMU","Bermuda",25.3011507813492,24.0771015355756,25.5722324846265,26.4113555987976,27.1375526980732,27.2804197012029,27.5380872229008,25.3181929002169,26.5959808455073,27.29794478117,25.7869840440505,26.4081973697299,27.8329601023206,27.0152833450894,27.5580838495658,28.3906842376073,28.6215885047592,28.5278212446789,28.8897916053549,28.8076454147313,28.2821147253347,28.2821147253347,28.2821147253347,28.2821147253347,28.2821147253347,28.2821147253347
64,"BTN","Bhutan",33.5716362608076,35.8693101385909,37.8178175901561,38.5846715686363,36.8114562384551,31.6968910904506,34.0085920121017,30.357015528992,35.4712841670625,38.0725206615032,44.91637780317,44.5005565694349,42.9064497202384,44.5481626357141,37.6510937833032,42.8756758090524,44.5075624366118,46.7009923102903,44.5821384981268,47.556881996475,50.2062793156813,50.2062793156813,50.2062793156813,50.2062793156813,50.2062793156813,50.2062793156813
