"code","iso","country","TCL.ind.1995","TCL.ind.1996","TCL.ind.1997","TCL.ind.1998","TCL.ind.1999","TCL.ind.2000","TCL.ind.2001","TCL.ind.2002","TCL.ind.2003","TCL.ind.2004","TCL.ind.2005","TCL.ind.2006","TCL.ind.2007","TCL.ind.2008","TCL.ind.2009","TCL.ind.2010","TCL.ind.2011","TCL.ind.2012","TCL.ind.2013","TCL.ind.2014","TCL.ind.2015","TCL.ind.2016","TCL.ind.2017","TCL.ind.2018","TCL.ind.2019","TCL.ind.2020"
442,"LUX","Luxembourg",45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,45.9012966901068,41.103898610449,36.5078793521077,30.1697143783145,30.7335463834198,26.6592017428308,26.3060278302018,26.5530561957351,29.5976290746127,28.4960471283414,31.5852727388357,31.1461639441249,31.3298470820614,30.6807053090184,30.6807053090184,30.6807053090184
446,"MAC","Macao",49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,49.4196091551049,37.8339363277395,30.3992614029364,26.7600863747207,24.8100059484529,23.9371984064895,27.8608004023878,33.5781952799538,40.6559738911014,44.2937318319213,44.2937318319213,44.2937318319213,35.5279719486293,33.5781952799538,33.5781952799538,33.5781952799538
450,"MDG","Madagascar",28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.3533346199933,28.8244828845997,26.1422772807437,25.2208403841222,24.0396503737843,23.7626333020022,22.0423775485719,23.1481722986213,20.1517191599303,16.4875641051079,14.4507625788572,12.4737744494226,9.65451358290862,9.21705902637795,9.21705902637795,9.21705902637795
454,"MWI","Malawi",32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,32.0319116025037,30.7521111757503,29.509767472408,28.6080952263693,29.1825267304761,31.2425496310687,30.1998308757241,28.5394954565554,28.2584083803496,24.2462196548984,22.7301704322722,21.6647669974526,21.0764923386271,20.2046188202344,20.2046188202344,20.2046188202344
458,"MYS","Malaysia",19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0988682181271,19.0893273861112,18.3588684834634,17.0227620069094,15.2792855449616,14.9508322675564,14.2144179995803,13.0382386503088,13.2128064470879,13.0950487929395,12.9769749814323,12.4767744860342,13.19496987847,12.6723108381992,12.6723108381992,12.6723108381992
462,"MDV","Maldives",54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,54.4643835047025,55.1864601983419,54.4643835047025,51.3671136816789,49.8176097234541,50.313321640015,47.1929297975476,48.8809019871324,50.313321640015,51.3671136816789,53.1332144230515,63.2154122854836,66.3843213828065,77.0399022972348,77.0399022972348,77.0399022972348
466,"MLI","Mali",25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,25.6632700141933,30.3523935360968,31.5672889261886,29.8749904388812,29.8304490638852,30.4687661599382,29.0962945005993,30.1228109456139,24.5905443576914,23.004541678336,21.1846736699817,20.7434394811761,18.2343040309825,19.2617766001714,19.2617766001714,19.2617766001714
470,"MLT","Malta",35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,35.0949814791606,100,100,43.8608844041457,43.8608844041457,43.8608844041457,43.8608844041457,43.8608844041457,100,100,100,100,100
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",0,0,0,0,0,0,0,0,0,0,0,26.1367889850092,26.1367889850092,100,100,100,100,100,100,100,100,100,100,100,100,100
