"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020"
92,"VGB","British Virgin Islands",33.4799,33.4799,33.4799,33.4799,33.4799,33.4799,33.4799,33.4799,33.4799,33.4799,33.4799,33.42518,33.37046,33.31574,33.26102,33.2063,33.0109,32.8155,32.6201,32.4247,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293
96,"BRN","Brunei Darussalam",62.6384,62.6384,62.6384,62.6384,62.6384,62.6384,62.6384,62.6384,62.6384,62.6384,62.6384,62.44378,62.24916,62.05454,61.85992,61.6653,61.1,60.5347,59.9694,59.4041,58.8388,58.8388,58.8388,58.8388,58.8388,58.8388
100,"BGR","Bulgaria",45.5699,45.5699,45.5699,45.5699,45.5699,45.5699,45.5699,45.5699,45.5699,45.5699,45.5699,45.58344,45.59698,45.61052,45.62406,45.6376,45.47308,45.30856,45.14404,44.97952,44.815,44.815,44.815,44.815,44.815,44.815
854,"BFA","Burkina Faso",52.9553,52.9553,52.9553,52.9553,52.9553,52.9553,52.9553,52.9553,52.9553,52.9553,52.9553,52.969,52.9827,52.9964,53.0101,53.0238,53.0238,53.0238,53.0238,53.0238,53.0238,53.0238,53.0238,53.0238,53.0238,53.0238
108,"BDI","Burundi",48.6543,48.6543,48.6543,48.6543,48.6543,48.6543,48.6543,48.6543,48.6543,48.6543,48.6543,48.63132,48.60834,48.58536,48.56238,48.5394,48.5394,48.5394,48.5394,48.5394,48.5394,48.5394,48.5394,48.5394,48.5394,48.5394
132,"CPV","Cabo Verde",45.5833,45.5833,45.5833,45.5833,45.5833,45.5833,45.5833,45.5833,45.5833,45.5833,45.5833,45.49742,45.41154,45.32566,45.23978,45.1539,45.1539,45.1539,45.1539,45.1539,45.1539,45.1539,45.1539,45.1539,45.1539,45.1539
116,"KHM","Cambodia",50.0816,50.0816,50.0816,50.0816,50.0816,50.0816,50.0816,50.0816,50.0816,50.0816,50.0816,50.23376,50.38592,50.53808,50.69024,50.8424,50.4954,50.1484,49.8014,49.4544,49.1074,49.1074,49.1074,49.1074,49.1074,49.1074
120,"CMR","Cameroon",63.2158,63.2158,63.2158,63.2158,63.2158,63.2158,63.2158,63.2158,63.2158,63.2158,63.2158,63.19856,63.18132,63.16408,63.14684,63.1296,63.12958,63.12956,63.12954,63.12952,63.1295,63.1295,63.1295,63.1295,63.1295,63.1295
124,"CAN","Canada",82.2702,82.2702,82.2702,82.2702,82.2702,82.2702,82.2702,82.2702,82.2702,82.2702,82.2702,82.26138,82.25256,82.24374,82.23492,82.2261,82.25272,82.27934,82.30596,82.33258,82.3592,82.3592,82.3592,82.3592,82.3592,82.3592
136,"CYM","Cayman Islands",43.9008,43.9008,43.9008,43.9008,43.9008,43.9008,43.9008,43.9008,43.9008,43.9008,43.9008,43.8578,43.8148,43.7718,43.7288,43.6858,43.57362,43.46144,43.34926,43.23708,43.1249,43.1249,43.1249,43.1249,43.1249,43.1249
140,"CAF","Central African Republic",66.1288,66.1288,66.1288,66.1288,66.1288,66.1288,66.1288,66.1288,66.1288,66.1288,66.1288,66.00398,65.87916,65.75434,65.62952,65.5047,65.5047,65.5047,65.5047,65.5047,65.5047,65.5047,65.5047,65.5047,65.5047,65.5047
148,"TCD","Chad",67.0723,67.0723,67.0723,67.0723,67.0723,67.0723,67.0723,67.0723,67.0723,67.0723,67.0723,67.0729,67.0735,67.0741,67.0747,67.0753,67.06466,67.05402,67.04338,67.03274,67.0221,67.0221,67.0221,67.0221,67.0221,67.0221
152,"CHL","Chile",68.4897,68.4897,68.4897,68.4897,68.4897,68.4897,68.4897,68.4897,68.4897,68.4897,68.4897,68.5496,68.6095,68.6694,68.7293,68.7892,68.70244,68.61568,68.52892,68.44216,68.3554,68.3554,68.3554,68.3554,68.3554,68.3554
156,"CHN","China",57.7392,57.7392,57.7392,57.7392,57.7392,57.7392,57.7392,57.7392,57.7392,57.7392,57.7392,57.7393,57.7394,57.7395,57.7396,57.7397,57.71794,57.69618,57.67442,57.65266,57.6309,57.6309,57.6309,57.6309,57.6309,57.6309
170,"COL","Colombia",58.2004,58.2004,58.2004,58.2004,58.2004,58.2004,58.2004,58.2004,58.2004,58.2004,58.2004,57.9987,57.797,57.5953,57.3936,57.1919,57.0384,56.8849,56.7314,56.5779,56.4244,56.4244,56.4244,56.4244,56.4244,56.4244
174,"COM","Comoros",35.6354,35.6354,35.6354,35.6354,35.6354,35.6354,35.6354,35.6354,35.6354,35.6354,35.6354,35.63786,35.64032,35.64278,35.64524,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477
184,"COK","Cook Islands",65.9935,65.9935,65.9935,65.9935,65.9935,65.9935,65.9935,65.9935,65.9935,65.9935,65.9935,66.06004,66.12658,66.19312,66.25966,66.3262,66.3262,66.3262,66.3262,66.3262,66.3262,66.3262,66.3262,66.3262,66.3262,66.3262
188,"CRI","Costa Rica",45.5573,45.5573,45.5573,45.5573,45.5573,45.5573,45.5573,45.5573,45.5573,45.5573,45.5573,45.3448,45.1323,44.9198,44.7073,44.4948,44.27536,44.05592,43.83648,43.61704,43.3976,43.3976,43.3976,43.3976,43.3976,43.3976
384,"CIV","Cote d'Ivoire",49.9017,49.9017,49.9017,49.9017,49.9017,49.9017,49.9017,49.9017,49.9017,49.9017,49.9017,49.83322,49.76474,49.69626,49.62778,49.5593,49.5593,49.5593,49.5593,49.5593,49.5593,49.5593,49.5593,49.5593,49.5593,49.5593
191,"HRV","Croatia",42.5819,42.5819,42.5819,42.5819,42.5819,42.5819,42.5819,42.5819,42.5819,42.5819,42.5819,42.69726,42.81262,42.92798,43.04334,43.1587,43.03836,42.91802,42.79768,42.67734,42.557,42.557,42.557,42.557,42.557,42.557
192,"CUB","Cuba",48.9579,48.9579,48.9579,48.9579,48.9579,48.9579,48.9579,48.9579,48.9579,48.9579,48.9579,49.1891,49.4203,49.6515,49.8827,50.1139,50.11154,50.10918,50.10682,50.10446,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021
