"code","iso","country","PAR.ind.1995","PAR.ind.1996","PAR.ind.1997","PAR.ind.1998","PAR.ind.1999","PAR.ind.2000","PAR.ind.2001","PAR.ind.2002","PAR.ind.2003","PAR.ind.2004","PAR.ind.2005","PAR.ind.2006","PAR.ind.2007","PAR.ind.2008","PAR.ind.2009","PAR.ind.2010","PAR.ind.2011","PAR.ind.2012","PAR.ind.2013","PAR.ind.2014","PAR.ind.2015","PAR.ind.2016","PAR.ind.2017","PAR.ind.2018","PAR.ind.2019","PAR.ind.2020"
352,"ISL","Iceland",22.2635710523192,22.2635710523192,22.2635710523192,22.2635710523192,22.2635710523192,22.2635710523192,24.0874088099615,25.9112465676038,27.735084325246,29.5589220828883,31.3827598405305,34.5163099599298,37.649860079329,40.7834101987286,43.9169603181279,47.0505104375271,47.0505104375271,47.6668653176297,47.6668653176297,47.8517956436381,47.8517956436381,47.751813957706,47.751813957706,47.751813957706,47.751813957706,47.751813957706
356,"IND","India",6.12645535692449,6.12645535692449,6.12645535692449,6.12645535692449,6.12645535692449,6.12645535692449,5.28022683195861,4.43399830699269,3.58776978202681,2.7415412570609,1.89531273209502,3.16243790666028,4.42956308122559,5.69668825579086,6.96381343035616,8.23093860492143,8.23093860492143,8.51326159229782,8.51326159229782,8.59639672208014,8.59639672208014,8.6548704980651,8.6548704980651,8.6548704980651,8.6548704980651,8.6548704980651
360,"IDN","Indonesia",14.226355912133,14.226355912133,14.226355912133,14.226355912133,14.226355912133,14.226355912133,13.8033975876734,13.3804392632137,12.957480938754,12.5345226142944,12.1115642898347,13.5000235637028,14.8884828375709,16.276942111439,17.6654013853071,19.0538606591752,19.0538606591752,19.6630450150241,19.6630450150241,20.2670871147111,20.2670871147111,20.2266887867198,20.2266887867198,20.2266887867198,20.2266887867198,20.2266887867198
364,"IRN","Iran",4.4734407241633,4.4734407241633,4.4734407241633,4.4734407241633,4.4734407241633,4.4734407241633,4.7365548196124,4.9996689150615,5.26278301051061,5.52589710595971,5.78901120140881,6.15465544199242,6.52029968257605,6.88594392315966,7.2515881637433,7.6172324043269,7.6172324043269,8.4128981147248,8.4128981147248,8.48508059681192,8.48508059681192,8.48289722586615,8.48289722586615,8.48289722586615,8.48289722586615,8.48289722586615
368,"IRQ","Iraq",0,0,0,0,0,0,0,0,0,0,0.166819085048275,0.336883399043254,0.506947713038232,0.677012027033246,0.847076341028224,1.0171406550232,1.0171406550232,2.25505232633403,2.25505232633403,2.65614830696288,2.65614830696288,2.65106570574484,2.65106570574484,2.65106570574484,2.65106570574484,2.65106570574484
372,"IRL","Ireland",32.8871143531585,32.8871143531585,32.8871143531585,32.8871143531585,32.8871143531585,32.8871143531585,33.6414153254744,34.3957162977903,35.1500172701062,35.9043182424222,36.6586192147381,37.9358077010954,39.2129961874524,40.4901846738098,41.7673731601667,43.0445616465241,43.0445616465241,43.4844572026483,43.4844572026483,43.760898212559,43.760898212559,43.7035101565524,43.7035101565524,43.7035101565524,43.7035101565524,43.7035101565524
833,"IMN","Isle of Man",38.804884785424,38.804884785424,38.804884785424,38.804884785424,38.804884785424,38.804884785424,39.6455422544916,40.4861997235591,41.3268571926263,42.1675146616938,43.0081721307614,44.3826697615652,45.7571673923689,47.1316650231731,48.5061626539769,49.8806602847807,49.8806602847807,50.3550363984641,50.3550363984641,50.5975934002541,50.5975934002541,50.5720610842763,50.5720610842763,50.5720610842763,50.5720610842763,50.5720610842763
376,"ISR","Israel",7.28965517652794,7.28965517652794,7.28965517652794,7.28965517652794,7.28965517652794,7.28965517652794,7.56556645053681,7.84147772454567,8.11738899855457,8.39330027256344,8.66921154657231,9.05159735060463,9.43398315463696,9.81636895866925,10.1987547627016,10.5811405667339,10.5811405667339,11.9622121723527,11.9622121723527,12.028930261581,12.028930261581,12.1828042238087,12.1828042238087,12.1828042238087,12.1828042238087,12.1828042238087
380,"ITA","Italy",27.2559262712617,27.2559262712617,27.2559262712617,27.2559262712617,27.2559262712617,27.2559262712617,28.1099941717117,28.9640620721622,29.8181299726123,30.6721978730627,31.5262657735129,32.7927402319502,34.059214690388,35.3256891488254,36.5921636072631,37.8586380657005,37.8586380657005,39.030619093042,39.030619093042,40.8656051665955,40.8656051665955,41.0642561296947,41.0642561296947,41.0642561296947,41.0642561296947,41.0642561296947
388,"JAM","Jamaica",31.1114252938155,31.1114252938155,31.1114252938155,31.1114252938155,31.1114252938155,31.1114252938155,31.5538740815375,31.9963228692597,32.4387716569817,32.881220444704,33.3236692324259,34.3345819113086,35.3454945901913,36.3564072690743,37.367319947957,38.3782326268397,38.3782326268397,39.1694958023799,39.1694958023799,39.2848684638314,39.2848684638314,39.2852263934946,39.2852263934946,39.2852263934946,39.2852263934946,39.2852263934946
