"code","iso","country","BCA.ind.1995","BCA.ind.1996","BCA.ind.1997","BCA.ind.1998","BCA.ind.1999","BCA.ind.2000","BCA.ind.2001","BCA.ind.2002","BCA.ind.2003","BCA.ind.2004","BCA.ind.2005","BCA.ind.2006","BCA.ind.2007","BCA.ind.2008","BCA.ind.2009","BCA.ind.2010","BCA.ind.2011","BCA.ind.2012","BCA.ind.2013","BCA.ind.2014","BCA.ind.2015","BCA.ind.2016","BCA.ind.2017","BCA.ind.2018","BCA.ind.2019","BCA.ind.2020"
96,"BRN","Brunei Darussalam",14.4906866687171,14.4906866687171,14.4906866687171,14.4906866687171,14.4906866687171,25.4451279519424,36.5463186979211,41.3160435844044,44.9626417442703,49.4536611561754,54.548376688872,50.4521748458741,40.8790250554309,37.5756409517059,36.4473417324848,34.8141652108847,31.0308290113712,28.8467655691663,31.8723317377183,35.0757266331775,35.0757266331775,35.0757266331775,35.0757266331775,35.0757266331775,35.0757266331775,35.0757266331775
100,"BGR","Bulgaria",85.5206434338318,85.5206434338318,85.5206434338318,85.5206434338318,85.5206434338318,100,100,96.5675860876217,73.5034493340031,68.187725710497,66.8167668786218,51.6834273663455,47.8369100859148,40.0150985688508,41.4396019972593,51.8365121269938,65.347310450134,74.6997752175384,92.9954756033647,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",40.1995055931056,40.1995055931056,40.1995055931056,40.1995055931056,40.1995055931056,45.0945177183551,50.3860199727393,56.2162944309078,60.4643179348645,64.2447620127846,63.3590185925797,60.132419231068,53.757978300368,45.4737473483096,39.1753570832123,37.9744189374359,37.8558615968757,39.9075248901843,42.1140929679706,44.5183973561629,44.5183973561629,44.5183973561629,44.5183973561629,44.5183973561629,44.5183973561629,44.5183973561629
108,"BDI","Burundi",51.4146732143145,51.4146732143145,51.4146732143145,51.4146732143145,51.4146732143145,58.4105754210134,64.7739746923885,70.27338794272,72.9930012565269,73.941025844491,69.8764223218044,63.4587153637734,54.8486411032204,44.8120575029143,36.7868643603751,34.3572056500305,34.2377215610683,36.3517524533443,38.6930672331296,41.2508725515256,41.2508725515256,41.2508725515256,41.2508725515256,41.2508725515256,41.2508725515256,41.2508725515256
132,"CPV","Cabo Verde",26.9076088663977,26.9076088663977,26.9076088663977,26.9076088663977,26.9076088663977,31.3602578558587,36.4673886408404,41.2956132880588,46.9778956305403,53.0462818213512,53.2531862913472,53.9315289185345,49.9844650805182,50.4930522493698,51.9013622150862,59.0494810567868,57.3968345073227,55.8708434938813,55.5864927361346,56.446174061903,56.446174061903,56.446174061903,56.446174061903,56.446174061903,56.446174061903,56.446174061903
116,"KHM","Cambodia",16.5802982303783,16.5802982303783,16.5802982303783,16.5802982303783,16.5802982303783,16.5802982303783,16.5802982303783,16.5802982303783,16.3792110918243,47.8160288774715,66.5222644034569,86.5240515671381,100,100,83.2404694358607,59.0232665830068,37.7683127827036,1.49687617352298,0,0,0,0,0,0,0,0
120,"CMR","Cameroon",37.2960588400961,37.2960588400961,37.2960588400961,37.2960588400961,37.2960588400961,37.0787107593086,38.1364718191215,38.3110717515988,38.8039701947331,38.4513935469845,38.7561492437843,47.4599130172498,68.3293245549482,87.0342065100969,100,100,100,100,95.3300650127015,77.3050653226802,77.3050653226802,77.3050653226802,77.3050653226802,77.3050653226802,77.3050653226802,77.3050653226802
124,"CAN","Canada",60.4232441310617,60.4232441310617,60.4232441310617,60.4232441310617,60.4232441310617,56.7979939617653,62.3263060876446,70.1082308002962,72.9195254677607,67.7692877949238,56.5660757741623,47.5446249915408,36.1676586474147,30.2391937658694,34.1551301128347,32.6000119772528,37.9891292750908,51.4600760050215,65.8439319311746,78.166205740172,78.166205740172,78.166205740172,78.166205740172,78.166205740172,78.166205740172,78.166205740172
136,"CYM","Cayman Islands",32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,32.7817521776514,30.296111379722,27.3756123943357,9.0161524086667,9.34054704385531,0.344894188522929,0,0,0,0,0,0,0,0
140,"CAF","Central African Republic",44.5789705363568,44.5789705363568,44.5789705363568,44.5789705363568,44.5789705363568,50.9604892832683,58.1904484905216,66.018699141057,72.3910376314874,79.2702373021451,80.6755295756487,78.4827919533385,73.386158181443,66.4416776086164,60.3218496295879,58.7095190950062,58.1621232139242,59.3250828165302,60.4324160583554,61.083131506181,61.083131506181,61.083131506181,61.083131506181,61.083131506181,61.083131506181,61.083131506181
148,"TCD","Chad",33.4560424652047,33.4560424652047,33.4560424652047,33.4560424652047,33.4560424652047,37.7730736539123,42.7080961544519,47.9562941861113,50.715354102091,52.1185261380099,49.1974931108621,45.1262656329587,39.2464819361254,32.3861188921446,27.9064674064513,28.7833573079486,31.5475956143104,36.4943665076204,40.5016878515229,43.5229842877368,43.5229842877368,43.5229842877368,43.5229842877368,43.5229842877368,43.5229842877368,43.5229842877368
152,"CHL","Chile",28.3961030980729,28.3961030980729,28.3961030980729,28.3961030980729,28.3961030980729,36.693561505782,44.9629368163351,51.5249905215365,60.5927533016204,63.5735342093406,64.7432593463452,60.0911069714183,50.6898681626374,43.0887329972007,39.4721795377239,37.5066553031898,29.9088553820666,23.6871391294257,20.1431408173817,20.0334517757456,20.0334517757456,20.0334517757456,20.0334517757456,20.0334517757456,20.0334517757456,20.0334517757456
156,"CHN","China",63.9800168756969,63.9800168756969,63.9800168756969,63.9800168756969,63.9800168756969,70.5231087014439,74.9260455714118,78.8617328081007,72.0236757155691,58.7152892229748,36.206286483634,14.9807158822534,0,0,0,0,5.13355678298586,17.8088063765293,27.8867982325139,37.9938802872123,37.9938802872123,37.9938802872123,37.9938802872123,37.9938802872123,37.9938802872123,37.9938802872123
170,"COL","Colombia",100,100,100,100,100,100,100,100,100,100,100,81.4308054210023,65.358179109264,52.2396743423892,40.899143495356,37.40723122599,30.471311348272,29.1426448831781,23.2128018085161,25.8164502099835,25.8164502099835,25.8164502099835,25.8164502099835,25.8164502099835,25.8164502099835,25.8164502099835
