,country,year,DMT
226,Uruguay,1997,-21.615693337283
227,Uzbekistan,1997,-20.3609091402923
228,Vanuatu,1997,-21.0956147973694
229,Venezuela,1997,-22.4246814761872
230,Viet Nam,1997,-21.9347369167235
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,-23.5982992299552
234,Zambia,1997,-19.398394067236
235,Zimbabwe,1997,-21.8990916594025
236,Afghanistan,1998,
237,Albania,1998,-22.3073006896879
238,Algeria,1998,-23.0742707823576
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,-20.5328947552852
242,Anguilla,1998,
243,Antigua and Barbuda,1998,-22.9801488840988
244,Argentina,1998,-22.554424145101
245,Armenia,1998,-22.2835287757298
246,Aruba,1998,
247,Australia,1998,-22.3098846247759
248,Austria,1998,-24.3254249686278
249,Azerbaijan,1998,-21.6678247802277
250,Bahamas,1998,-24.0641802722912
251,Bahrain,1998,-22.8583027180194
252,Bangladesh,1998,-21.9338194138551
253,Barbados,1998,-21.3973238928553
254,Belarus,1998,-22.2921226092259
255,Belgium,1998,-24.3640510127776
256,Belize,1998,-19.2112266588051
257,Benin,1998,-21.7498492492856
258,Bermuda,1998,
259,Bhutan,1998,-21.9632155874281
260,Bolivia,1998,-21.4329553947928
261,Bosnia and Herzegovina,1998,-22.5352100413111
262,Botswana,1998,-20.5301287843993
263,Brazil,1998,-22.6355815992189
264,British Virgin Islands,1998,
265,Brunei Darussalam,1998,-21.5584966819948
266,Bulgaria,1998,-22.6777289459848
267,Burkina Faso,1998,-21.0341103537217
268,Burundi,1998,-22.1073545482818
269,Cambodia,1998,-20.5928144714592
270,Cameroon,1998,-21.8272783696662
271,Canada,1998,-22.8986643061315
272,Cape Verde,1998,-23.5907921967931
273,Cayman Islands,1998,
274,Central African Republic,1998,-18.8003859365731
275,Chad,1998,-20.2291785557988
276,Chile,1998,-23.6489306812628
277,China,1998,-22.4607129733563
278,Colombia,1998,-22.5672647022647
279,Comoros,1998,-22.185264893304
280,Cook Islands,1998,
281,Costa Rica,1998,-23.113441028364
282,Cote d'Ivoire,1998,-21.8226425036583
283,Croatia,1998,-23.7541706607515
284,Cuba,1998,-23.0513504344913
285,Curacao,1998,
286,Cyprus,1998,-24.5644317895234
287,Czech Republic,1998,-23.5101539773766
288,Dem. Rep. Congo,1998,-20.3533914740267
289,Denmark,1998,-24.0581317107333
290,Djibouti,1998,-21.9089208494494
291,Dominica,1998,-22.5923491596105
292,Dominican Republic,1998,-22.9611986970184
293,Ecuador,1998,-22.8658378519415
294,Egypt,1998,-23.3393181084354
295,El Salvador,1998,-23.1512919195539
296,Equatorial Guinea,1998,-20.8454062426702
297,Eritrea,1998,-21.4356841623767
298,Estonia,1998,-22.9545113821836
299,Ethiopia,1998,-20.491898852346
300,Faeroe Islands,1998,
301,Falkland Islands,1998,
302,Fiji,1998,-22.7210606951964
303,Finland,1998,-24.0112911850352
304,France,1998,-24.1821080556301
305,French Guiana,1998,
306,French Polynesia,1998,
307,Gabon,1998,-23.7435362952923
308,Gambia,1998,-19.7971228622521
309,Georgia,1998,-21.6077222898809
310,Germany,1998,-24.2678818828717
311,Ghana,1998,-22.3461303406349
312,Gibraltar,1998,
313,Greece,1998,-23.9061936205686
314,Greenland,1998,
315,Grenada,1998,-20.1567758774755
316,Guadeloupe,1998,
317,Guam,1998,
318,Guatemala,1998,-22.9280402570508
319,Guinea,1998,-21.07356554186
320,Guinea-Bissau,1998,-21.3724978830501
321,Guyana,1998,-21.0879162953867
322,Haiti,1998,-22.2462223363954
323,Holy See,1998,
324,Honduras,1998,-21.8369334400251
325,Hong Kong,1998,
326,Hungary,1998,-23.7023421114657
327,Iceland,1998,-23.6854970233172
328,India,1998,-22.2370195428797
329,Indonesia,1998,-22.2710334335037
330,Iran,1998,-23.0379959958739
331,Iraq,1998,-21.8722359960126
332,Ireland,1998,-22.9313620321601
333,Isle of Man,1998,
334,Israel,1998,-23.5462879157182
335,Italy,1998,-24.4460503944157
336,Jamaica,1998,-23.8158740589001
337,Japan,1998,-25.8400511375148
338,Jordan,1998,-22.6747842091156
339,Kazakhstan,1998,-21.9790408508203
340,Kenya,1998,-22.0232628050713
341,Kiribati,1998,-23.2622037544972
342,Kosovo,1998,
343,Kuwait,1998,-21.2178051574424
344,Kyrgyzstan,1998,-21.835162842549
345,Laos,1998,-21.136081113452
346,Latvia,1998,-23.0761486181723
347,Lebanon,1998,-23.9208996916708
348,Lesotho,1998,-21.8783356607258
349,Liberia,1998,-21.7058415346953
350,Libya,1998,-21.3830842897384
351,Liechtenstein,1998,
352,Lithuania,1998,-23.0231208707775
353,Luxembourg,1998,-24.8104753931271
354,Macao,1998,
