,country,year,GPD
580,Kyrgyzstan,1999,9638696098.94949
581,Laos,1999,11819485669.2883
582,Latvia,1999,25062291866.4447
583,Lebanon,1999,40019532194.8415
584,Lesotho,1999,3178931392.15731
585,Liberia,1999,1880984322.57009
586,Libya,1999,113238000000.0
587,Liechtenstein,1999,
588,Lithuania,1999,41082446172.5074
589,Luxembourg,1999,31665490883.8426
590,Macao,1999,15233695043.7942
591,Macedonia,1999,16778112516.0665
592,Madagascar,1999,21733216613.0394
593,Malawi,1999,9698426688.71759
594,Malaysia,1999,347382779298.087
595,Maldives,1999,1749692424.0
596,Mali,1999,16054617319.922
597,Malta,1999,8998148012.46136
598,Marshall Islands,1999,141448258.8551
599,Martinique,1999,
600,Mauritania,1999,7486088641.2647
601,Mauritius,1999,12058677172.0269
602,Mayotte,1999,
603,Mexico,1999,1450510474356.44
604,Micronesia,1999,325415409.017213
605,Moldova,1999,8273218247.34222
606,Monaco,1999,
607,Mongolia,1999,11033666082.0368
608,Montenegro,1999,5911743979.09226
609,Montserrat,1999,
610,Morocco,1999,128310206811.44
611,Mozambique,1999,9979536623.10767
612,Myanmar,1999,52943524418.5167
613,Namibia,1999,11205743575.6226
614,Nauru,1999,
615,Nepal,1999,34420267374.7943
616,Netherlands,1999,637420630626.685
617,Netherlands Antilles,1999,
618,New Caledonia,1999,
619,New Zealand,1999,106165436494.176
620,Nicaragua,1999,16779550731.9764
621,Niger,1999,8673145258.46074
622,Nigeria,1999,330880408931.07
623,Niue,1999,
624,Norfolk Island,1999,
625,North Korea,1999,
626,Northern Mariana Islands,1999,
627,Norway,1999,252676124622.86
628,Oman,1999,94604482404.2533
629,Pakistan,1999,464345128860.734
630,Palau,1999,264792572.019472
631,Panama,1999,31188638325.725
632,Papua New Guinea,1999,10236781991.646
633,Paraguay,1999,33030188982.992
634,Peru,1999,165623774762.088
635,Philippines,1999,315526655884.349
636,Pitcairn,1999,
637,Poland,1999,539065255398.056
638,Portugal,1999,257769117387.503
639,Puerto Rico,1999,121938308150.618
640,Qatar,1999,60107612232.0
641,Republic of Congo,1999,13433981020.5281
642,Reunion,1999,
643,Romania,1999,230652418832.369
644,Russia,1999,1872551298790.16
645,Rwanda,1999,5921356996.34711
646,Saint Helena,1999,
647,Saint Kitts and Nevis,1999,826909700.429675
648,Saint Lucia,1999,1492365971.90017
649,Saint Pierre and Miquelon,1999,
650,Saint Vincent and the Grenadines,1999,801997822.921766
651,Samoa,1999,706455137.233733
652,San Marino,1999,
653,Sao Tome and Principe,1999,276294370.6
654,Saudi Arabia,1999,720977105025.244
655,Senegal,1999,18272129890.2947
656,Serbia,1999,55695075709.7703
657,Seychelles,1999,1474785992.10925
658,Sierra Leone,1999,3906161802.19524
659,Singapore,1999,190991314200.892
660,Sint Maarten,1999,
661,Slovakia,1999,83086541196.933
662,Slovenia,1999,43391872631.1127
663,Solomon Islands,1999,832306515.224281
664,Somalia,1999,
665,South Africa,1999,418706187589.523
666,South Korea,1999,896559184322.152
667,South Sudan,1999,
668,Spain,1999,1154634244520.79
669,Sri Lanka,1999,98195998156.2579
670,State of Palestine,1999,13636289124.9561
671,Sudan,1999,73002165107.4278
672,Suriname,1999,4625962462.95757
673,Svalbard and Jan Mayen Islands,1999,
674,Swaziland,1999,6259856472.48078
675,Sweden,1999,312196988989.073
676,Switzerland,1999,347746454232.635
677,Syria,1999,
678,Taiwan,1999,570188000000.0
679,Tajikistan,1999,6772212178.67419
680,Tanzania,1999,46885795731.1924
681,Thailand,1999,553868561612.212
682,Timor-Leste,1999,1031548025.2888
683,Togo,1999,6397231657.89102
684,Tokelau,1999,
685,Tonga,1999,436633881.668495
686,Trinidad and Tobago,1999,21601470516.6607
687,Tunisia,1999,70156746998.8308
688,Turkey,1999,791142631065.932
689,Turkmenistan,1999,22836013429.5441
690,Turks and Caicos Islands,1999,
691,Tuvalu,1999,29144670.5382264
692,Uganda,1999,24823565951.1164
693,Ukraine,1999,222771712276.408
694,United Arab Emirates,1999,294980108792.537
695,United Kingdom,1999,1871114675470.54
696,United States of America,1999,12465428188541.1
697,United States Virgin Islands,1999,
698,Uruguay,1999,43601731262.0509
699,Uzbekistan,1999,59456796774.5392
700,Vanuatu,1999,493209429.073814
701,Venezuela,1999,340401578826.557
702,Viet Nam,1999,192625968991.962
703,Wallis and Futuna Islands,1999,
704,Western Sahara,1999,
705,Yemen,1999,65548837262.1163
706,Zambia,1999,21316218630.7254
707,Zimbabwe,1999,32511380801.9529
708,Afghanistan,2000,
709,Albania,2000,16897032037.7935
710,Algeria,2000,318406849179.433
711,American Samoa,2000,
712,Andorra,2000,
713,Angola,2000,57689642487.7707
714,Anguilla,2000,
715,Antigua and Barbuda,2000,1500059853.6245
716,Argentina,2000,552151219022.903
717,Armenia,2000,8977769459.99019
718,Aruba,2000,
719,Australia,2000,675037958852.29
720,Austria,2000,310945307913.316
721,Azerbaijan,2000,35888694707.6342
722,Bahamas,2000,7699501863.20183
723,Bahrain,2000,29869448819.7681
724,Bangladesh,2000,216050975705.134
725,Barbados,2000,3896571076.61173
726,Belarus,2000,73032540769.9463
727,Belgium,2000,381894601787.308
728,Belize,2000,1722286730.5402
729,Benin,2000,11441883947.698
730,Bermuda,2000,3162154264.8163
731,Bhutan,2000,2029189412.06141
732,Bolivia,2000,36796658878.3586
733,Bosnia and Herzegovina,2000,23832970684.1993
734,Botswana,2000,17993233854.6345
735,Brazil,2000,1993147728618.01
736,British Virgin Islands,2000,
737,Brunei Darussalam,2000,27342284298.9552
738,Bulgaria,2000,73189130579.7899
739,Burkina Faso,2000,12483130235.2803
740,Burundi,2000,4826748585.33385
741,Cambodia,2000,16721262254.0662
742,Cameroon,2000,38288053620.6337
743,Canada,2000,1151768855838.72
744,Cape Verde,2000,1668631777.00853
745,Cayman Islands,2000,
746,Central African Republic,2000,3076737313.98399
747,Chad,2000,8285687626.43615
748,Chile,2000,225855178776.475
749,China,2000,4672725786335.64
750,Colombia,2000,335685091122.417
751,Comoros,2000,803186066.721811
752,Cook Islands,2000,
753,Costa Rica,2000,38776659201.9744
754,Cote d'Ivoire,2000,49185416881.5209
755,Croatia,2000,69688601781.2823
756,Cuba,2000,125501473310.448
757,Curacao,2000,
758,Cyprus,2000,20880309226.7714
759,Czech Republic,2000,216763122604.718
760,Dem. Rep. Congo,2000,24913116292.8378
761,Denmark,2000,226067137050.018
762,Djibouti,2000,1529359973.13739
763,Dominica,2000,569589673.821256
764,Dominican Republic,2000,68190201366.9715
765,Ecuador,2000,93295216341.4635
766,Egypt,2000,516387052191.633
767,El Salvador,2000,37340390763.8587
768,Equatorial Guinea,2000,6630224128.65438
