,country,year,DPT
333,Isle of Man,2006,
334,Israel,2006,787.63
335,Italy,2006,446.725
336,Jamaica,2006,489.9402
337,Japan,2006,435.01
338,Jordan,2006,629.7537
339,Kazakhstan,2006,580.789
340,Kenya,2006,269.5202
341,Kiribati,2006,
342,Kosovo,2006,1126.9611
343,Kuwait,2006,793.3912
344,Kyrgyzstan,2006,106.433
345,Laos,2006,
346,Latvia,2006,168.2233
347,Lebanon,2006,713.5143
348,Lesotho,2006,
349,Liberia,2006,
350,Libya,2006,890.4596
351,Liechtenstein,2006,
352,Lithuania,2006,138.5223
353,Luxembourg,2006,318.189
354,Macao,2006,
355,Macedonia,2006,706.7663
356,Madagascar,2006,
357,Malawi,2006,
358,Malaysia,2006,640.3208
359,Maldives,2006,
360,Mali,2006,
361,Malta,2006,963.7851
362,Marshall Islands,2006,
363,Martinique,2006,
364,Mauritania,2006,
365,Mauritius,2006,788.0651
366,Mayotte,2006,
367,Mexico,2006,509.614
368,Micronesia,2006,
369,Moldova,2006,372.2389
370,Monaco,2006,
371,Mongolia,2006,592.5801
372,Montenegro,2006,438.3415
373,Montserrat,2006,
374,Morocco,2006,832.9062
375,Mozambique,2006,1.0262
376,Myanmar,2006,377.6171
377,Namibia,2006,91.83
378,Nauru,2006,
379,Nepal,2006,3.7344
380,Netherlands,2006,396.638
381,Netherlands Antilles,2006,
382,New Caledonia,2006,
383,New Zealand,2006,233.438
384,Nicaragua,2006,527.1621
385,Niger,2006,569.9948
386,Nigeria,2006,367.963
387,Niue,2006,
388,Norfolk Island,2006,
389,North Korea,2006,543.588
390,Northern Mariana Islands,2006,
391,Norway,2006,6.148
392,Oman,2006,697.87
393,Pakistan,2006,416.5814
394,Palau,2006,
395,Panama,2006,313.5789
396,Papua New Guinea,2006,
397,Paraguay,2006,0.0
398,Peru,2006,184.8423
399,Philippines,2006,436.1468
400,Pitcairn,2006,
401,Poland,2006,676.419
402,Portugal,2006,422.512
403,Puerto Rico,2006,
404,Qatar,2006,619.6235
405,Republic of Congo,2006,103.181
406,Reunion,2006,
407,Romania,2006,448.8885
408,Russia,2006,335.0422
409,Rwanda,2006,
410,Saint Helena,2006,
411,Saint Kitts and Nevis,2006,
412,Saint Lucia,2006,
413,Saint Pierre and Miquelon,2006,
414,Saint Vincent and the Grenadines,2006,
415,Samoa,2006,
416,San Marino,2006,
417,Sao Tome and Principe,2006,
418,Saudi Arabia,2006,754.8204
419,Senegal,2006,733.7178
420,Serbia,2006,714.8555
421,Seychelles,2006,
422,Sierra Leone,2006,
423,Singapore,2006,503.7617
424,Sint Maarten,2006,
425,Slovakia,2006,227.111
426,Slovenia,2006,361.957
427,Solomon Islands,2006,
428,Somalia,2006,
429,South Africa,2006,848.4604
430,South Korea,2006,472.915
431,South Sudan,2006,
432,Spain,2006,373.668
433,Sri Lanka,2006,338.6713
434,State of Palestine,2006,
435,Sudan,2006,665.3736
436,Suriname,2006,314.4472
437,Svalbard and Jan Mayen Islands,2006,
438,Swaziland,2006,
439,Sweden,2006,47.499
440,Switzerland,2006,44.6
441,Syria,2006,617.1896
442,Taiwan,2006,666.8607
443,Tajikistan,2006,32.8429
444,Tanzania,2006,459.9472
445,Thailand,2006,516.1351
446,Timor-Leste,2006,
447,Togo,2006,463.2986
448,Tokelau,2006,
449,Tonga,2006,
450,Trinidad and Tobago,2006,726.3523
451,Tunisia,2006,494.8785
452,Turkey,2006,446.124
453,Turkmenistan,2006,798.9231
454,Turks and Caicos Islands,2006,
455,Tuvalu,2006,
456,Uganda,2006,
457,Ukraine,2006,352.3154
458,United Arab Emirates,2006,824.2294
459,United Kingdom,2006,518.805
460,United States of America,2006,553.233
461,United States Virgin Islands,2006,
462,Uruguay,2006,299.0511
463,Uzbekistan,2006,471.2509
464,Vanuatu,2006,
465,Venezuela,2006,215.9423
466,Viet Nam,2006,440.7966
467,Wallis and Futuna Islands,2006,
468,Western Sahara,2006,
469,Yemen,2006,797.0362
470,Zambia,2006,3.5979
471,Zimbabwe,2006,482.6052
472,Afghanistan,2007,
473,Albania,2007,31.3794
474,Algeria,2007,600.1951
475,American Samoa,2007,
476,Andorra,2007,
477,Angola,2007,303.4952
478,Anguilla,2007,
479,Antigua and Barbuda,2007,
480,Argentina,2007,379.6166
481,Armenia,2007,164.2884
482,Aruba,2007,
483,Australia,2007,871.273
484,Austria,2007,204.648
485,Azerbaijan,2007,529.5298
486,Bahamas,2007,
487,Bahrain,2007,756.2897
488,Bangladesh,2007,579.1353
489,Barbados,2007,
490,Belarus,2007,294.9487
491,Belgium,2007,253.518
492,Belize,2007,
493,Benin,2007,668.8182
494,Bermuda,2007,
495,Bhutan,2007,
496,Bolivia,2007,335.9885
497,Bosnia and Herzegovina,2007,998.4944
498,Botswana,2007,1298.8901
499,Brazil,2007,72.7561
500,British Virgin Islands,2007,
501,Brunei Darussalam,2007,742.8804
502,Bulgaria,2007,534.619
503,Burkina Faso,2007,
504,Burundi,2007,
505,Cambodia,2007,813.2599
506,Cameroon,2007,163.6225
