,country,year,DNT
235,Zimbabwe,1997,-22.348078626664
236,Afghanistan,1998,
237,Albania,1998,-23.1248253068464
238,Algeria,1998,-24.8408193775273
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,-21.5910153253098
242,Anguilla,1998,
243,Antigua and Barbuda,1998,-25.1766378026183
244,Argentina,1998,-23.4146679712327
245,Armenia,1998,-23.4244234005026
246,Aruba,1998,
247,Australia,1998,-22.7942157319088
248,Austria,1998,-24.7678156403143
249,Azerbaijan,1998,-23.2601035891342
250,Bahamas,1998,-25.4687060995302
251,Bahrain,1998,-27.251011527217
252,Bangladesh,1998,-22.9511649296932
253,Barbados,1998,-24.9800510069449
254,Belarus,1998,-22.4703156404993
255,Belgium,1998,-24.3110241278612
256,Belize,1998,-22.6906115736177
257,Benin,1998,-22.056313405809
258,Bermuda,1998,
259,Bhutan,1998,-23.3240229592455
260,Bolivia,1998,-22.199448439587
261,Bosnia and Herzegovina,1998,-23.2559977947195
262,Botswana,1998,-21.489563878943
263,Brazil,1998,-23.3577382599907
264,British Virgin Islands,1998,
265,Brunei Darussalam,1998,-25.2797797481854
266,Bulgaria,1998,-23.6666581640426
267,Burkina Faso,1998,-21.2201933824362
268,Burundi,1998,-22.1984369737478
269,Cambodia,1998,-21.7440054607463
270,Cameroon,1998,-20.1017864899717
271,Canada,1998,-23.5841914716812
272,Cape Verde,1998,-23.4922383647676
273,Cayman Islands,1998,
274,Central African Republic,1998,-18.440826009697
275,Chad,1998,-20.5789428795488
276,Chile,1998,-24.28065213585
277,China,1998,-23.1429629765622
278,Colombia,1998,-23.5400682162037
279,Comoros,1998,-23.3739676821652
280,Cook Islands,1998,
281,Costa Rica,1998,-23.6645731413362
282,Cote d'Ivoire,1998,-23.3005107974091
283,Croatia,1998,-24.0782515739533
284,Cuba,1998,-23.9751061093568
285,Curacao,1998,
286,Cyprus,1998,-24.8907319269184
287,Czech Republic,1998,-24.3025838941008
288,Dem. Rep. Congo,1998,-21.0213422769047
289,Denmark,1998,-24.1919694537816
290,Djibouti,1998,-22.5108047397262
291,Dominica,1998,-24.0234111562309
292,Dominican Republic,1998,-23.9160089209878
293,Ecuador,1998,-23.718946315396
294,Egypt,1998,-24.2209534479781
295,El Salvador,1998,-23.97472054508
296,Equatorial Guinea,1998,-26.3923828047791
297,Eritrea,1998,-21.3691323105022
298,Estonia,1998,-22.937786011501
299,Ethiopia,1998,-20.9460592379006
300,Faeroe Islands,1998,
301,Falkland Islands,1998,
302,Fiji,1998,-23.2632705963299
303,Finland,1998,-23.399849435564
304,France,1998,-24.2397214166629
305,French Guiana,1998,
306,French Polynesia,1998,
307,Gabon,1998,-24.4014191990309
308,Gambia,1998,-22.240666028862
309,Georgia,1998,-22.8334443264867
310,Germany,1998,-24.5970033228748
311,Ghana,1998,-22.7711799239903
312,Gibraltar,1998,
313,Greece,1998,-24.2718293920716
314,Greenland,1998,
315,Grenada,1998,-25.6205455465911
316,Guadeloupe,1998,
317,Guam,1998,
318,Guatemala,1998,-23.5976568636676
319,Guinea,1998,-21.7182431076469
320,Guinea-Bissau,1998,-21.7275122214929
321,Guyana,1998,-21.959044767797
322,Haiti,1998,-22.9848566777165
323,Holy See,1998,
324,Honduras,1998,-22.8169348303849
325,Hong Kong,1998,
326,Hungary,1998,-23.8956026300585
327,Iceland,1998,-24.1909072109302
328,India,1998,-23.2308170728729
329,Indonesia,1998,-23.3219293907331
330,Iran,1998,-24.1817625896407
331,Iraq,1998,-24.8403688240125
332,Ireland,1998,-23.2162653132902
333,Isle of Man,1998,
334,Israel,1998,-25.4344387005649
335,Italy,1998,-24.8980821090689
336,Jamaica,1998,-24.3156718352672
337,Japan,1998,-25.788735090316
338,Jordan,1998,-24.7783277515418
339,Kazakhstan,1998,-23.5648272017138
340,Kenya,1998,-22.5550322349654
341,Kiribati,1998,-24.9090229715711
342,Kosovo,1998,
343,Kuwait,1998,-27.2248358598459
344,Kyrgyzstan,1998,-22.655343426398
345,Laos,1998,-22.1172458013912
346,Latvia,1998,-23.1647432872705
347,Lebanon,1998,-25.0218478624777
348,Lesotho,1998,-22.339457680307
349,Liberia,1998,-22.880034027444
350,Libya,1998,-25.3659147926934
351,Liechtenstein,1998,
352,Lithuania,1998,-22.915533934258
353,Luxembourg,1998,-25.1878042082009
354,Macao,1998,
355,Macedonia,1998,-23.6911624433986
356,Madagascar,1998,-21.5635455111287
357,Malawi,1998,-22.4045010887617
358,Malaysia,1998,-24.0988556720725
359,Maldives,1998,
360,Mali,1998,-21.2510259113612
361,Malta,1998,-25.7367178226084
362,Marshall Islands,1998,-26.6822732463461
363,Martinique,1998,
364,Mauritania,1998,-21.7981532841672
365,Mauritius,1998,-24.4765262183108
366,Mayotte,1998,
367,Mexico,1998,-24.2352459832212
368,Micronesia,1998,-23.6874846380871
369,Moldova,1998,-22.8876169194196
370,Monaco,1998,
371,Mongolia,1998,-20.9037960016734
372,Montenegro,1998,-23.9879307038448
373,Montserrat,1998,
374,Morocco,1998,-23.6285546694415
375,Mozambique,1998,-20.6626808395032
376,Myanmar,1998,-21.7982864045082
377,Namibia,1998,-21.8344861645913
378,Nauru,1998,
379,Nepal,1998,-22.4531891757447
380,Netherlands,1998,-24.3890206141763
381,Netherlands Antilles,1998,
382,New Caledonia,1998,
383,New Zealand,1998,-22.6372611487977
384,Nicaragua,1998,-22.7041245123654
385,Niger,1998,-21.189066952924
386,Nigeria,1998,-23.0440547083249
387,Niue,1998,
388,Norfolk Island,1998,
389,North Korea,1998,
390,Northern Mariana Islands,1998,
391,Norway,1998,-24.478605958292
392,Oman,1998,-26.1877250198154
393,Pakistan,1998,-23.1802599918365
394,Palau,1998,-26.8423987019743
395,Panama,1998,-23.9630955538958
396,Papua New Guinea,1998,-21.3886039857053
397,Paraguay,1998,-22.2861303685225
398,Peru,1998,-23.7247012318041
399,Philippines,1998,-24.0497419404061
400,Pitcairn,1998,
401,Poland,1998,-23.7283066842327
402,Portugal,1998,-24.7485758442063
403,Puerto Rico,1998,
404,Qatar,1998,
405,Republic of Congo,1998,-23.5140558888107
406,Reunion,1998,
407,Romania,1998,-23.7004578290821
408,Russia,1998,-23.9585665956872
409,Rwanda,1998,-22.5143531495785
410,Saint Helena,1998,
411,Saint Kitts and Nevis,1998,-24.5069873687316
412,Saint Lucia,1998,-24.4960039581166
413,Saint Pierre and Miquelon,1998,
414,Saint Vincent and the Grenadines,1998,-24.5147786777288
415,Samoa,1998,-23.5270748658107
416,San Marino,1998,
417,Sao Tome and Principe,1998,
418,Saudi Arabia,1998,-25.7801110465642
419,Senegal,1998,-21.7257672394979
420,Serbia,1998,-23.3881778511934
421,Seychelles,1998,-25.7784777933782
422,Sierra Leone,1998,-22.6893245033503
423,Singapore,1998,-25.9755618108036
424,Sint Maarten,1998,
425,Slovakia,1998,-24.0889097628951
426,Slovenia,1998,-24.4948199187437
427,Solomon Islands,1998,-24.566460563119
428,Somalia,1998,-18.8004820812323
429,South Africa,1998,-23.6260553214677
430,South Korea,1998,-24.6022189381702
431,South Sudan,1998,
432,Spain,1998,-24.4907563883287
433,Sri Lanka,1998,-24.2484027267276
434,State of Palestine,1998,
435,Sudan,1998,-21.0106174977147
436,Suriname,1998,-23.140821428567
437,Svalbard and Jan Mayen Islands,1998,
438,Swaziland,1998,-23.2213063854129
439,Sweden,1998,-24.5965754241347
440,Switzerland,1998,-25.5748393599448
441,Syria,1998,-23.2477100946011
442,Taiwan,1998,-25.2832790189031
443,Tajikistan,1998,-22.5110537762778
444,Tanzania,1998,-21.4209822911282
445,Thailand,1998,-24.1412628222657
446,Timor-Leste,1998,
447,Togo,1998,-22.2040407338744
448,Tokelau,1998,
449,Tonga,1998,-22.8422588770742
450,Trinidad and Tobago,1998,-25.0929218938181
451,Tunisia,1998,-23.9972715087794
452,Turkey,1998,-24.0021196551317
453,Turkmenistan,1998,-22.9134068203749
