,country,year,DCT
294,Egypt,1998,-22.1567245317211
295,El Salvador,1998,-22.5404516532322
296,Equatorial Guinea,1998,-21.7232476864391
297,Eritrea,1998,-22.9860460806161
298,Estonia,1998,-20.9419242505433
299,Ethiopia,1998,-23.138841363107
300,Faeroe Islands,1998,
301,Falkland Islands,1998,
302,Fiji,1998,-22.6119206534385
303,Finland,1998,-21.7720559182426
304,France,1998,-22.3678901786239
305,French Guiana,1998,
306,French Polynesia,1998,
307,Gabon,1998,-22.3232820113322
308,Gambia,1998,-22.8099317337702
309,Georgia,1998,-21.7354753292316
310,Germany,1998,-21.9244483711308
311,Ghana,1998,-22.5637130697691
312,Gibraltar,1998,
313,Greece,1998,-21.7667166342842
314,Greenland,1998,
315,Grenada,1998,-22.3273272639772
316,Guadeloupe,1998,
317,Guam,1998,
318,Guatemala,1998,-22.7821728205937
319,Guinea,1998,-22.5528521837968
320,Guinea-Bissau,1998,-22.9446788440523
321,Guyana,1998,-21.4269871418784
322,Haiti,1998,-23.1248705395278
323,Holy See,1998,
324,Honduras,1998,-22.2027890045872
325,Hong Kong,1998,
326,Hungary,1998,-21.8021751156929
327,Iceland,1998,-22.1293413222315
328,India,1998,-21.7512349665951
329,Indonesia,1998,-22.2062923440556
330,Iran,1998,-21.6240094303861
331,Iraq,1998,-21.8041578426454
332,Ireland,1998,-21.917884251771
333,Isle of Man,1998,
334,Israel,1998,-21.7397550086834
335,Italy,1998,-22.249281095138
336,Jamaica,1998,-21.4760302171632
337,Japan,1998,-22.0371892092877
338,Jordan,1998,-21.5447866128618
339,Kazakhstan,1998,-20.7307808609942
340,Kenya,1998,-22.9133939762311
341,Kiribati,1998,-22.4324929843549
342,Kosovo,1998,
343,Kuwait,1998,-21.9611637620622
344,Kyrgyzstan,1998,-21.149500290193
345,Laos,1998,-23.5005886649499
346,Latvia,1998,-21.8130352093826
347,Lebanon,1998,-21.6124536048183
348,Lesotho,1998,-21.2846418609911
349,Liberia,1998,-22.1425587412285
350,Libya,1998,-21.7547466190235
351,Liechtenstein,1998,
352,Lithuania,1998,-21.7636325345681
353,Luxembourg,1998,-22.0847279383829
354,Macao,1998,
355,Macedonia,1998,-21.2092574849182
356,Madagascar,1998,-23.204561791446
357,Malawi,1998,-23.0292827149704
358,Malaysia,1998,-21.8806520814992
359,Maldives,1998,
360,Mali,1998,-23.7154804465894
361,Malta,1998,-22.0112749795847
362,Marshall Islands,1998,-21.4564689405424
363,Martinique,1998,
364,Mauritania,1998,-22.5476285418343
