,country,year,DBT
430,South Korea,1998,-23.9943545762193
431,South Sudan,1998,
432,Spain,1998,-24.4103974206188
433,Sri Lanka,1998,-22.8003173583087
434,State of Palestine,1998,
435,Sudan,1998,-21.8299015378789
436,Suriname,1998,-23.7870605151013
437,Svalbard and Jan Mayen Islands,1998,
438,Swaziland,1998,-22.8765110160552
439,Sweden,1998,-24.6808107589718
440,Switzerland,1998,-25.6723958404091
441,Syria,1998,-23.2963415393074
442,Taiwan,1998,-23.6654294055371
443,Tajikistan,1998,-25.6314939065108
444,Tanzania,1998,-21.3155993641193
445,Thailand,1998,-22.8156776225507
446,Timor-Leste,1998,
447,Togo,1998,-21.302600539048
448,Tokelau,1998,
449,Tonga,1998,-27.4457409823319
450,Trinidad and Tobago,1998,-24.4648172334485
451,Tunisia,1998,-23.6110197454815
452,Turkey,1998,-24.0579311898175
453,Turkmenistan,1998,-24.9174420905112
454,Turks and Caicos Islands,1998,
455,Tuvalu,1998,
456,Uganda,1998,-20.7719331620011
457,Ukraine,1998,-23.7695561598342
458,United Arab Emirates,1998,-25.0181831506348
459,United Kingdom,1998,-24.9120812889056
460,United States of America,1998,-24.7533946747024
461,United States Virgin Islands,1998,
462,Uruguay,1998,-23.9253204631851
463,Uzbekistan,1998,-24.3923814120938
464,Vanuatu,1998,-23.5343702038193
465,Venezuela,1998,-24.5514616432845
466,Viet Nam,1998,-21.5987426484796
467,Wallis and Futuna Islands,1998,
468,Western Sahara,1998,
469,Yemen,1998,-24.7030502166956
470,Zambia,1998,-21.3068681832202
471,Zimbabwe,1998,-21.705955905376
472,Afghanistan,1999,
473,Albania,1999,-23.3432435833342
474,Algeria,1999,-25.1323660203086
475,American Samoa,1999,
476,Andorra,1999,
477,Angola,1999,-22.2877424919353
478,Anguilla,1999,
479,Antigua and Barbuda,1999,-24.2636008359182
480,Argentina,1999,-23.865948562529
481,Armenia,1999,-25.8168500914339
482,Aruba,1999,
483,Australia,1999,-23.7921174973272
484,Austria,1999,-24.7217760914258
485,Azerbaijan,1999,-24.7859053162744
486,Bahamas,1999,-23.7725340982568
487,Bahrain,1999,-25.8206046200487
488,Bangladesh,1999,-22.6550662572454
489,Barbados,1999,-23.9656889415048
490,Belarus,1999,-23.7978644493509
491,Belgium,1999,-24.532939572935
492,Belize,1999,-22.5619834386623
493,Benin,1999,-21.7941716474381
494,Bermuda,1999,-24.8534617850394
495,Bhutan,1999,-21.3379999337104
496,Bolivia,1999,-23.1512563318245
497,Bosnia and Herzegovina,1999,-23.4346890370792
498,Botswana,1999,-23.1785833417707
499,Brazil,1999,-23.3028226944863
500,British Virgin Islands,1999,
501,Brunei Darussalam,1999,-25.335948928175
502,Bulgaria,1999,-23.6180777694802
503,Burkina Faso,1999,-21.3693065558497
504,Burundi,1999,-20.9400413638651
505,Cambodia,1999,-21.1546151982012
506,Cameroon,1999,-22.0483839249994
507,Canada,1999,-23.9273027709564
508,Cape Verde,1999,-23.4269551604572
509,Cayman Islands,1999,
510,Central African Republic,1999,-21.2958089928683
511,Chad,1999,-21.287390537468
512,Chile,1999,-23.3016260175371
513,China,1999,-22.0849085418895
514,Colombia,1999,-23.8649449781511
515,Comoros,1999,-22.4656425219548
516,Cook Islands,1999,
517,Costa Rica,1999,-24.1434294346558
518,Cote d'Ivoire,1999,-22.4778945610828
519,Croatia,1999,-24.0390773962623
520,Cuba,1999,-23.1986684144466
521,Curacao,1999,
522,Cyprus,1999,-23.8108198410972
523,Czech Republic,1999,-24.0545692649118
524,Dem. Rep. Congo,1999,-20.6198268325618
525,Denmark,1999,-24.9251266020352
526,Djibouti,1999,-21.7403517655935
527,Dominica,1999,-23.9867883420032
528,Dominican Republic,1999,-23.2047717918168
529,Ecuador,1999,-23.4806424770996
530,Egypt,1999,-24.0610028234051
531,El Salvador,1999,-23.0001853765607
532,Equatorial Guinea,1999,-23.2075999975889
533,Eritrea,1999,-22.2877881718931
534,Estonia,1999,-23.3192831792175
535,Ethiopia,1999,-20.7976501368916
536,Faeroe Islands,1999,
537,Falkland Islands,1999,
538,Fiji,1999,-23.4620321338116
539,Finland,1999,-23.6310695088747
540,France,1999,-24.3448857759126
541,French Guiana,1999,
542,French Polynesia,1999,
543,Gabon,1999,-23.2028666702047
544,Gambia,1999,-21.9506786332161
545,Georgia,1999,-22.9595103411739
546,Germany,1999,-25.1528131459431
547,Ghana,1999,-21.9815299268728
548,Gibraltar,1999,
549,Greece,1999,-24.2700566396095
550,Greenland,1999,
551,Grenada,1999,-23.9521874526777
552,Guadeloupe,1999,
553,Guam,1999,
554,Guatemala,1999,-22.8705500332967
555,Guinea,1999,-20.8986243140538
556,Guinea-Bissau,1999,-21.8021281978336
557,Guyana,1999,-22.7156541072169
558,Haiti,1999,-22.1018712590098
559,Holy See,1999,
560,Honduras,1999,-22.5906952599167
561,Hong Kong,1999,-23.7671834324268
562,Hungary,1999,-24.3647646707086
563,Iceland,1999,-24.843173910781
564,India,1999,-22.168183663474
565,Indonesia,1999,-22.6566350328852
566,Iran,1999,-24.4284135654479
567,Iraq,1999,-24.4328927764581
568,Ireland,1999,-24.6147316913822
569,Isle of Man,1999,
570,Israel,1999,-25.3717673710108
571,Italy,1999,-24.6477702701587
572,Jamaica,1999,-23.6175339337282
573,Japan,1999,-24.8474142989647
574,Jordan,1999,-24.3620072677187
575,Kazakhstan,1999,-23.9981705700405
576,Kenya,1999,-21.7340198248127
577,Kiribati,1999,-23.7639804260739
578,Kosovo,1999,
579,Kuwait,1999,-26.0832305863819
580,Kyrgyzstan,1999,-23.588594659121
581,Laos,1999,-22.0809366317845
582,Latvia,1999,-23.2204173441913
583,Lebanon,1999,-24.7425249045504
584,Lesotho,1999,-21.5380094112145
585,Liberia,1999,-20.2981523312371
586,Libya,1999,-24.2237402092646
587,Liechtenstein,1999,
588,Lithuania,1999,-23.7392182566807
589,Luxembourg,1999,-24.2211174384308
590,Macao,1999,-24.815922837833
591,Macedonia,1999,-23.6850488563974
592,Madagascar,1999,-21.6704628334836
593,Malawi,1999,-21.3401208968581
594,Malaysia,1999,-23.7329940175313
595,Maldives,1999,
596,Mali,1999,-21.9323889335171
597,Malta,1999,-24.3217643982005
598,Marshall Islands,1999,
599,Martinique,1999,
600,Mauritania,1999,-21.8982075648915
601,Mauritius,1999,-23.4609039492759
602,Mayotte,1999,
603,Mexico,1999,-24.485637398443
604,Micronesia,1999,-27.7824860094546
605,Moldova,1999,-24.0252134185346
606,Monaco,1999,
607,Mongolia,1999,-23.3066764997285
608,Montenegro,1999,-21.1967163766114
609,Montserrat,1999,
610,Morocco,1999,-23.9478417917827
611,Mozambique,1999,-20.5019295860828
612,Myanmar,1999,-21.2606381279056
613,Namibia,1999,-23.5783298088039
614,Nauru,1999,
615,Nepal,1999,-21.4566158874417
616,Netherlands,1999,-24.9715920352843
617,Netherlands Antilles,1999,
618,New Caledonia,1999,
619,New Zealand,1999,-24.1448346377204
620,Nicaragua,1999,-22.3733468630881
621,Niger,1999,-20.9679450161201
622,Nigeria,1999,-21.4961480321057
623,Niue,1999,
624,Norfolk Island,1999,
625,North Korea,1999,
626,Northern Mariana Islands,1999,
627,Norway,1999,-24.3234136111517
628,Oman,1999,-25.4649983294542
629,Pakistan,1999,-22.4844533723412
630,Palau,1999,
631,Panama,1999,-23.4767515998091
632,Papua New Guinea,1999,-22.6200529323177
633,Paraguay,1999,-22.2747122983303
634,Peru,1999,-23.6795686520756
635,Philippines,1999,-22.6976263177768
636,Pitcairn,1999,
637,Poland,1999,-23.8214809813477
638,Portugal,1999,-24.2385091480146
639,Puerto Rico,1999,-29.6237423962194
640,Qatar,1999,
641,Republic of Congo,1999,-22.9637902354978
642,Reunion,1999,
643,Romania,1999,-23.8828111394475
644,Russia,1999,-24.4419827237475
645,Rwanda,1999,-20.8213047539187
646,Saint Helena,1999,
647,Saint Kitts and Nevis,1999,-23.7729847465676
648,Saint Lucia,1999,-24.2583185300964
649,Saint Pierre and Miquelon,1999,
650,Saint Vincent and the Grenadines,1999,-23.784006558376
651,Samoa,1999,-23.292678568054
652,San Marino,1999,
653,Sao Tome and Principe,1999,
654,Saudi Arabia,1999,-24.8095752900516
655,Senegal,1999,-22.3290257632136
656,Serbia,1999,-23.4396672348589
657,Seychelles,1999,-23.1682797022627
658,Sierra Leone,1999,-20.7332016213749
659,Singapore,1999,-24.8172618774148
660,Sint Maarten,1999,
661,Slovakia,1999,-24.4465575005004
662,Slovenia,1999,-24.1109978559405
663,Solomon Islands,1999,-23.1004840971404
664,Somalia,1999,-19.1553232353785
665,South Africa,1999,-22.8560152950801
666,South Korea,1999,-24.0121677397875
667,South Sudan,1999,
668,Spain,1999,-24.4449737869736
669,Sri Lanka,1999,-22.7602101307075
670,State of Palestine,1999,
671,Sudan,1999,-21.8711512733237
672,Suriname,1999,-23.8034668403617
673,Svalbard and Jan Mayen Islands,1999,
674,Swaziland,1999,-22.7824464272879
675,Sweden,1999,-24.8123461240991
676,Switzerland,1999,-25.7160653030369
677,Syria,1999,-23.4478991489794
678,Taiwan,1999,-23.685694867746
679,Tajikistan,1999,-25.8463933496695
680,Tanzania,1999,-21.3029765731036
681,Thailand,1999,-22.8450804274406
682,Timor-Leste,1999,-22.7829225694217
683,Togo,1999,-21.231226097733
684,Tokelau,1999,
685,Tonga,1999,-27.7057012820816
686,Trinidad and Tobago,1999,-24.5663629463629
687,Tunisia,1999,-23.6291128566358
688,Turkey,1999,-24.0221901204801
689,Turkmenistan,1999,-24.9553129481438
690,Turks and Caicos Islands,1999,
691,Tuvalu,1999,
692,Uganda,1999,-20.8081847152011
693,Ukraine,1999,-23.9472342994616
694,United Arab Emirates,1999,-25.0759123497505
695,United Kingdom,1999,-25.0143250365284
696,United States of America,1999,-24.767140883366
697,United States Virgin Islands,1999,
698,Uruguay,1999,-23.8754577305196
699,Uzbekistan,1999,-24.4420295802501
700,Vanuatu,1999,-23.506831368713
701,Venezuela,1999,-24.6258505310623
702,Viet Nam,1999,-21.6326269322558
703,Wallis and Futuna Islands,1999,
704,Western Sahara,1999,
705,Yemen,1999,-24.6425514336034
706,Zambia,1999,-21.325742385684
707,Zimbabwe,1999,-21.631141163689
708,Afghanistan,2000,
709,Albania,2000,-23.4141778019064
710,Algeria,2000,-25.0691635562034
711,American Samoa,2000,
712,Andorra,2000,
713,Angola,2000,-22.2946820211333
714,Anguilla,2000,
715,Antigua and Barbuda,2000,-24.3371863899203
716,Argentina,2000,-23.934444123871
717,Armenia,2000,-26.3152818191875
718,Aruba,2000,
719,Australia,2000,-23.8518235100979
720,Austria,2000,-24.7894108029556
721,Azerbaijan,2000,-24.511606882407
722,Bahamas,2000,-24.0407185673504
723,Bahrain,2000,-25.8853928319985
724,Bangladesh,2000,-22.6819611840333
725,Barbados,2000,-24.0451622668711
726,Belarus,2000,-23.7654400495895
727,Belgium,2000,-24.6276944320471
728,Belize,2000,-22.7017456383873
729,Benin,2000,-21.9835667879244
730,Bermuda,2000,-24.8696477839144
731,Bhutan,2000,-21.3150187992358
732,Bolivia,2000,-23.0724488792855
733,Bosnia and Herzegovina,2000,-23.1433992403746
734,Botswana,2000,-23.1985009209871
735,Brazil,2000,-23.375239931531
736,British Virgin Islands,2000,
737,Brunei Darussalam,2000,-25.4182206843267
738,Bulgaria,2000,-23.6433298815879
739,Burkina Faso,2000,-21.3770594024634
740,Burundi,2000,-20.8908995163076
741,Cambodia,2000,-21.2416003812518
742,Cameroon,2000,-22.0580824941303
743,Canada,2000,-24.1565978152794
744,Cape Verde,2000,-23.3426381898665
745,Cayman Islands,2000,
746,Central African Republic,2000,-21.1933954041105
747,Chad,2000,-21.2334262697809
748,Chile,2000,-23.3471690734239
749,China,2000,-22.2037093980278
750,Colombia,2000,-23.8035269597772
751,Comoros,2000,-22.4742925779665
752,Cook Islands,2000,
753,Costa Rica,2000,-24.0469415793577
754,Cote d'Ivoire,2000,-22.4394214572156
755,Croatia,2000,-24.0107253183942
