,country,year,population
413,Saint Pierre and Miquelon,1998,
414,Saint Vincent and the Grenadines,1998,107922.0
415,Samoa,1998,172981.0
416,San Marino,1998,26799.0
417,Sao Tome and Principe,1998,133418.0
418,Saudi Arabia,1998,19882458.0
419,Senegal,1998,9418393.0
420,Serbia,1998,7567745.0
421,Seychelles,1998,78846.0
422,Sierra Leone,1998,4353646.0
423,Singapore,1998,3927213.0
424,Sint Maarten,1998,31240.0
425,Slovakia,1998,5390516.0
426,Slovenia,1998,1981629.0
427,Solomon Islands,1998,390643.0
428,Somalia,1998,8422372.0
429,South Africa,1998,43584030.0
430,South Korea,1998,46286503.0
431,South Sudan,1998,6099923.0
432,Spain,1998,40223509.0
433,Sri Lanka,1998,18425000.0
434,State of Palestine,1998,2776568.0
435,Sudan,1998,26003542.0
436,Suriname,1998,461560.0
437,Svalbard and Jan Mayen Islands,1998,
438,Swaziland,1998,1026009.0
439,Sweden,1998,8850974.0
440,Switzerland,1998,7110001.0
441,Syria,1998,15602210.0
442,Taiwan,1998,21929000.0
443,Tajikistan,1998,6021691.0
444,Tanzania,1998,32451713.0
445,Thailand,1998,61597283.0
446,Timor-Leste,1998,865194.0
447,Togo,1998,4679023.0
448,Tokelau,1998,
449,Tonga,1998,97135.0
450,Trinidad and Tobago,1998,1262542.0
451,Tunisia,1998,9499395.0
452,Turkey,1998,61329590.0
453,Turkmenistan,1998,4413477.0
454,Turks and Caicos Islands,1998,17115.0
455,Tuvalu,1998,9306.0
456,Uganda,1998,22551789.0
457,Ukraine,1998,50143939.0
458,United Arab Emirates,1998,2838145.0
459,United Kingdom,1998,58487141.0
460,United States of America,1998,275854000.0
461,United States Virgin Islands,1998,108535.0
462,Uruguay,1998,3292138.0
463,Uzbekistan,1998,24051000.0
464,Vanuatu,1998,178078.0
465,Venezuela,1998,23569454.0
466,Viet Nam,1998,75456300.0
467,Wallis and Futuna Islands,1998,
468,Western Sahara,1998,
469,Yemen,1998,16896210.0
470,Zambia,1998,9950224.0
471,Zimbabwe,1998,11893272.0
472,Afghanistan,1999,19403676.0
473,Albania,1999,3108778.0
474,Algeria,1999,30765613.0
475,American Samoa,1999,56770.0
476,Andorra,1999,64370.0
477,Angola,1999,15949766.0
478,Anguilla,1999,
479,Antigua and Barbuda,1999,81831.0
480,Argentina,1999,36648068.0
481,Armenia,1999,3089017.0
482,Aruba,1999,89005.0
483,Australia,1999,18926000.0
484,Austria,1999,7992324.0
485,Azerbaijan,1999,7982750.0
486,Bahamas,1999,293572.0
487,Bahrain,1999,636545.0
488,Bangladesh,1999,129029691.0
489,Barbados,1999,268922.0
490,Belarus,1999,10026738.0
491,Belgium,1999,10226419.0
492,Belize,1999,239026.0
493,Benin,1999,6664098.0
494,Bermuda,1999,61285.0
495,Bhutan,1999,557543.0
496,Bolivia,1999,8182712.0
497,Bosnia and Herzegovina,1999,3759118.0
498,Botswana,1999,1699862.0
499,Brazil,1999,172759243.0
500,British Virgin Islands,1999,20188.0
