,country,year,CDA,CHA,FGA,NDA,BCA
3226,North Macedonia,2009,87.41640016936621,59.871189991483405,80.0923178357779,81.0331610376238,42.7093723804627
3227,Norway,2009,40.587152072276794,68.291226387342,98.45587343569859,100.0,66.8192627079184
3228,Oman,2009,4.4927867783598,52.894581143205,52.864245095633,12.660519638475499,48.6623204484564
3229,Pakistan,2009,26.845164914978103,34.4149565425844,100.0,26.781406276762098,45.91822410704739
3232,Papua New Guinea,2009,12.9715819047901,0.0,37.732900070486004,70.83495254014841,58.7298974104185
3234,Peru,2009,19.6553015797422,56.0590086165926,75.68335225301709,50.1922771722234,45.88065592636829
3235,Philippines,2009,53.3196225859857,57.0403823542266,88.7868931448323,69.528459442791,100.0
3236,Poland,2009,55.2035811232841,100.0,95.3202726663154,61.2948064186881,21.5680137779313
3237,Portugal,2009,68.971896393598,82.2931897977659,74.67270701506129,100.0,100.0
3239,Republic of Congo,2009,14.4734142708376,63.24901236399529,68.4857332024676,0.0,0.0
3240,Romania,2009,60.18963056049051,74.58950471170509,92.3442725720866,75.04113261262991,14.0837085109394
3241,Russia,2009,53.2525498031531,55.995532062370394,92.6823064802711,64.0487765673006,53.2280540446305
3242,Rwanda,2009,53.438890093338394,0.0,45.1492350153864,0.0,51.0261397759793
3244,Saint Kitts and Nevis,2009,42.04572529492229,76.6935076122742,72.6593450439742,100.0,7.185487179773201
3245,Saint Lucia,2009,47.20966935301121,76.53798281004521,96.8186101276119,100.0,68.8698728694302
3246,Saint Vincent and the Grenadines,2009,22.318758010798998,78.28208869591342,77.6349031604986,100.0,51.951983286955205
3250,Saudi Arabia,2009,27.2452435894489,37.88172545814621,82.6652252942245,64.575802328691,0.0
3252,Serbia,2009,44.9051580144895,100.0,81.2243810908037,51.389319712040994,43.743407783829795
3254,Sierra Leone,2009,37.8283793683718,0.0,32.891630511901695,0.0,30.8117526646458
3255,Singapore,2009,68.5392684110584,20.437496074538,86.29440489192021,100.0,39.4931189737505
3257,Slovakia,2009,63.362375342206,75.92468192315721,77.042923866374,75.6266916385643,15.824797323557501
3258,Slovenia,2009,50.74951400773621,83.0486594527936,86.9426573354483,91.7153181274973,1.5641092438566797
3261,South Africa,2009,35.529325717381795,65.31477224532121,88.1691138047546,80.818496408854,0.0
3262,South Korea,2009,49.055603759865704,91.5387361704176,100.0,100.0,100.0
3264,Spain,2009,52.6891264810678,77.9511474490643,88.0476518521194,100.0,58.9214373135914
3268,Suriname,2009,62.516572625576,93.09575955158442,100.0,41.8871290431545,58.3745657504317
3269,Sweden,2009,67.1190631027719,100.0,91.60149376375429,0.0,93.8503476956213
3270,Switzerland,2009,57.0954380560473,0.0,86.2585986160543,80.87294662228891,74.06776119881219
3272,Taiwan,2009,46.167954563249104,88.47625498470042,92.2882542626799,72.69556537827609,60.99783630650129
3273,Tajikistan,2009,37.630847949882295,0.0,100.0,0.0,28.203404095561105
3275,Thailand,2009,33.1998104338156,44.9140349770891,84.27555201074792,18.5729107792017,22.544332024737102
3281,Turkey,2009,31.6361909626054,65.7166415680996,79.24666675318409,67.6406042222898,5.294427250173871
3282,Turkmenistan,2009,29.813821233827802,35.7468044207318,66.1333767045541,15.591587396362,24.631166974684
3286,Ukraine,2009,70.5859953464898,100.0,86.5290179965055,63.129467061340705,77.86772711225319
3287,United Arab Emirates,2009,23.6258796151863,50.946724357890304,90.56519826993929,0.0,12.864569964839001
3288,United Kingdom,2009,63.8156413268446,100.0,89.9183965256072,100.0,100.0
3289,United States of America,2009,59.593098729737605,90.683758430289,87.6702140034029,83.2315709773728,67.1278894551173
3290,Uruguay,2009,23.523780772957302,46.5381201718575,81.74738975555451,40.5352199570855,21.3011558508984
3291,Uzbekistan,2009,64.9622038548291,45.275237941754206,76.1424273280736,40.7418509916591,100.0
3293,Venezuela,2009,54.255036542525,76.46572878873191,87.76040343909192,42.47548395929729,25.7162075654996
3298,Zambia,2009,44.99717748196879,49.9417573562821,68.5058997193925,53.5161703174593,38.9223700551554
3301,Albania,2010,46.330144068958205,100.0,76.1879882980647,100.0,63.5287866265416
3302,Algeria,2010,34.0855338764756,79.3467864705911,88.0674416140318,30.2408266443642,34.489991295291
3304,Angola,2010,0.0,86.46447743972358,60.0125045501305,56.76969922373161,0.0
3306,Antigua and Barbuda,2010,34.1049815430003,100.0,82.17193580438851,75.43930761982709,2.78309220957718
3307,Argentina,2010,30.266182596395502,83.13008761761841,82.7525622882935,67.0517430306139,65.5786613234165
3308,Armenia,2010,30.2569240054983,55.761840155307205,68.33649937320479,7.87687357822577,49.697181000364104
3310,Australia,2010,44.1729235685087,100.0,86.7803080986713,100.0,62.9030792787879
3311,Austria,2010,59.4528822198386,100.0,69.95797084299,100.0,45.229440756576395
3312,Azerbaijan,2010,50.9333422003456,0.0,72.2631903622941,25.4646326814783,46.0133312464139
3314,Bahrain,2010,6.032796379511889,0.0,88.9678775847996,39.601656466166396,0.0
3317,Belarus,2010,41.850125010215,38.681674655010795,77.1431691405435,47.2042154878521,0.0
3318,Belgium,2010,62.739718905997705,83.1857459695792,86.3820154337607,70.0425565734929,91.89053678156029
3323,Bolivia,2010,27.6792528408039,22.703835807063196,82.6561754456754,21.624272710886803,10.8338591326473
3324,Bosnia and Herzegovina,2010,24.158947202055,11.3593341787986,82.0160906551234,17.0293711140792,0.0
3326,Brazil,2010,45.2620117232144,57.1868703648874,86.5971898178947,41.6205743398675,30.431352308648
3328,Brunei Darussalam,2010,5.16447864711651,62.172762290289896,81.36941827311709,43.789426436858705,34.8141652108847
3329,Bulgaria,2010,58.2452509199298,100.0,78.5000092107553,100.0,51.836512126993796
3334,Cameroon,2010,36.3494302396631,88.4874064238736,96.18054996803671,93.7325747667866,100.0
3335,Canada,2010,55.7669256084735,94.10628773301649,89.8976367940782,68.65484956083671,32.600011977252805
3339,Chile,2010,35.887976041974795,66.3688716550125,58.2007719321952,41.3275178455273,37.506655303189795
3340,China,2010,0.0,29.4422841053964,84.0917176918106,45.6575939993259,0.0
3341,Colombia,2010,37.6491149190693,63.08123600737701,66.6096750990536,48.7274977997893,37.40723122599
3342,Comoros,2010,43.367345957946604,24.8575265880984,67.1724386897862,63.98903610920421,45.1249612071131
3344,Costa Rica,2010,38.37199680738539,62.8376294827922,81.5035332127935,52.368610403848,0.0
3346,Croatia,2010,55.06469189743171,52.0025270627277,90.6098467514269,45.357167699121,30.284952101417105
3347,Cuba,2010,38.516547242471795,87.7260435189377,77.693939085377,83.831869997191,100.0
3349,Cyprus,2010,47.993923000151504,70.62420682320631,82.23777978238671,83.6402648966724,100.0
3350,Czech Republic,2010,66.2010833323732,100.0,74.5472563867719,50.211437241452295,32.9692713100894
3352,Denmark,2010,72.989787291317,100.0,86.4322534853295,100.0,59.2922230212142
3356,Ecuador,2010,29.2571632136271,57.6429805133681,78.8591922678267,64.36369497385729,38.2972011403584
3357,Egypt,2010,23.268936912509197,27.042936031240803,89.90210413608101,33.098599282703,21.4196465786483
3358,El Salvador,2010,50.2182043875764,89.8059362228153,85.5372858366365,41.795162727641,100.0
3361,Estonia,2010,52.5274424044949,73.6381056440017,79.09342804248399,56.58786012010779,31.681750309032804
3363,Ethiopia,2010,28.062664995313398,0.0,80.8084691001499,7.63018409720884,43.0972078370964
3367,Finland,2010,61.869326543209894,63.1325182411417,85.69799026358271,68.52006927859611,70.1022918002515
3368,France,2010,63.596555369205205,100.0,90.07043601093291,100.0,81.1462457110427
3370,Gabon,2010,62.699213313559106,100.0,80.2650517972324,36.211474248044894,46.489510189296
3372,Georgia,2010,14.8129451175401,100.0,73.42225113406691,66.092719117027,46.0977151322696
3373,Germany,2010,68.5103800253618,100.0,89.16709120054571,95.78202734455971,72.7896503041325
3374,Ghana,2010,37.929426870069,42.2281859358866,100.0,63.5898931051886,100.0
3375,Greece,2010,59.51446235114221,76.22913619398349,99.6435222249378,100.0,100.0
3377,Grenada,2010,38.204357066512706,60.747545556308296,93.88164514275059,39.168260714069206,48.7731218331145
3378,Guatemala,2010,50.7275463842856,30.7225973542839,79.5044899211242,35.1372047188937,23.8444855607539
3386,Hong Kong,2010,53.28286932235989,81.61795432407621,98.29107714081249,100.0,100.0
3387,Hungary,2010,66.3868888437039,93.8648731776627,88.2966852196285,100.0,13.2346043759094
3388,Iceland,2010,40.179497139493705,74.0224292281627,87.4134847653309,71.0083411482834,100.0
3389,India,2010,21.3943264541576,55.921870348563296,89.8240956218326,27.170285402866,26.972209482697203
3390,Indonesia,2010,30.5226476443965,37.48150329808271,95.6771072806742,38.3150407953456,56.739237124595
3391,Iran,2010,30.5470867779005,25.792335027841897,100.0,39.871206686628106,26.0511263520258
